submission_pk,User,b'WS-PSNR (dB)',b'WS-SSIM',b'PSNR (dB)',b'SSIM'
364993,cui666,26.35 (1),-1.00 (1),27.14 (1),-1.00 (1),
369549,Spider-Man,25.82 (2),-1.00 (1),26.56 (2),-1.00 (1),
366152,PixelBE,25.72 (3),-1.00 (1),26.47 (3),-1.00 (1),
373989,eStarPro,25.45 (5),-1.00 (1),26.05 (4),-1.00 (1),
373253,ZhanYing,25.46 (4),-1.00 (1),26.03 (5),-1.00 (1),
363610,baseline_,24.72 (6),-1.00 (1),25.54 (6),-1.00 (1),
371454,ZZPM,22.82 (7),-1.00 (1),23.58 (7),-1.00 (1),
