submission_pk,User,b'Error rate',b'Memory usage (MiB)',b'CPU time (ms)',b'Score'
354800,EdiMuskardin,0.0149316 (1),119.00 (2),0.042 (2),0.0944037 (1),
395258,kawa_yo,0.0680216 (3),91.00 (1),0.023 (1),0.0999327 (2),
398444,neuralchecker,0.0522605 (2),126.00 (3),0.059 (3),0.1191474 (3),
350157,TAYSIR-Baseline,0.0680216 (3),149.00 (4),0.172 (5),0.1505605 (4),
363034,r.hakimi,0.9319784 (4),156.00 (5),0.162 (4),0.5868875 (5),
