submission_pk,User,b'Average CER',b'Bribri CER',b'Guarani CER',b'Kotiria CER',"b""Wa'ikhana CER""",b'Quechua CER'
202970,monirome,0.2685 (1),0.3470 (1),0.1559 (1),0.3659 (1),0.3523 (1),0.1214 (1),
211413,a.legchenko,0.4059 (2),0.5227 (2),0.2743 (2),0.4157 (2),0.3932 (2),0.4235 (2),
