submission_pk,User,b'Average Macro F1',b'Precision HS',b'Recall HS',b'F1 HS',b'Precision NHS',b'Recall NHS',b'F1 NHS'
400609,JL_DomOlmedo,0.5040 (1),0.0212 (1),0.2857 (2),0.0395 (1),0.9967 (2),0.9421 (3),0.9686 (3),
400724,NLP_URJC,0.5026 (2),0.0172 (2),0.1905 (3),0.0315 (2),0.9963 (3),0.9521 (1),0.9737 (1),
400890,ronghao,0.4954 (3),0.0113 (4),0.1429 (4),0.0209 (4),0.9960 (4),0.9450 (2),0.9699 (2),
395577,Mesay,0.4894 (4),0.0154 (3),0.3333 (1),0.0294 (3),0.9968 (1),0.9064 (4),0.9494 (4),
