submission_pk,User,b'Top-1 accuracy',b'Top-3 accuracy',b'Top-5 accuracy',b'Execution time'
176445,llll,0.80 (1),0.92 (1),0.94 (1),- (-),
172118,songxinran,0.71 (2),0.88 (2),0.91 (2),- (-),
173454,ferria,0.69 (3),0.69 (7),0.69 (8),- (-),
176711,alexxxxx123,0.59 (4),0.76 (5),0.82 (4),- (-),
176766,aaa123,0.59 (5),0.76 (4),0.82 (5),- (-),
176741,USTC-IAT-United,0.58 (6),0.77 (3),0.83 (3),- (-),
176700,Bo_Tan,0.57 (7),0.75 (6),0.81 (6),- (-),
176743,Smart_lab,0.48 (8),0.64 (8),0.69 (7),- (-),
159740,lidanxu,0.01 (9),0.01 (9),0.01 (9),- (-),
