submission_pk,User,b'CCER'
38148,knowme,25.07 (1),
38431,WayneWiser,27.17 (2),
38666,yifeiwu,34.02 (3),
38465,azhang1998,38.87 (4),
33070,zhangao1998,41.99 (5),
38449,KeAi2,42.33 (6),
37289,Levoice11,46.82 (7),
31204,hushenghua,51.53 (8),
38329,XMUSPEECH,60.88 (9),
37391,gump77,62.14 (10),
35083,misp2021,62.74 (11),
