submission_pk,User,b'AP @ 0.50:0.95',b'AP @ 0.50',b'AP @ 0.75',b'AP @ 0.50:0.95 (small)',b'AP @ 0.50:0.95 (medium)',b'AP @ 0.50:0.95 (large)'
176882,GroundTruth,0.330 (1),0.686 (1),0.279 (1),0.170 (1),0.263 (17),0.268 (1),
176795,Terminus_AI_Studio,0.329 (2),0.626 (17),0.274 (2),0.108 (10),0.290 (1),0.226 (16),
174598,gavin,0.321 (3),0.642 (6),0.265 (3),0.123 (3),0.287 (2),0.231 (12),
176605,TerminusAI,0.312 (4),0.641 (8),0.247 (5),0.114 (6),0.278 (3),0.239 (5),
176800,johnyan,0.309 (5),0.646 (2),0.251 (4),0.121 (4),0.278 (4),0.239 (6),
161857,Charles,0.305 (6),0.642 (7),0.245 (6),0.116 (5),0.274 (5),0.244 (2),
176817,jx2557176,0.302 (7),0.644 (3),0.236 (11),0.124 (2),0.273 (7),0.243 (3),
176872,pokemon,0.301 (8),0.642 (5),0.241 (8),0.111 (9),0.273 (6),0.233 (11),
176313,USTC-IAT-United,0.300 (9),0.639 (9),0.242 (7),0.114 (8),0.270 (9),0.231 (13),
173266,lfbhlx,0.299 (10),0.637 (14),0.238 (10),0.114 (7),0.263 (16),0.241 (4),
176469,w12,0.298 (11),0.627 (16),0.239 (9),0.105 (15),0.271 (8),0.229 (15),
174785,jiwoolee,0.295 (12),0.638 (11),0.229 (14),0.106 (13),0.266 (10),0.236 (8),
175054,sghong977,0.295 (13),0.637 (13),0.231 (13),0.106 (12),0.266 (12),0.237 (7),
176853,HyeonGyuChi,0.295 (14),0.637 (12),0.229 (15),0.107 (11),0.266 (11),0.235 (9),
175031,SeungbumHong,0.294 (15),0.643 (4),0.225 (16),0.105 (14),0.265 (13),0.233 (10),
166686,www,0.294 (16),0.624 (18),0.233 (12),0.104 (16),0.264 (14),0.230 (14),
156941,mada,0.290 (17),0.638 (10),0.219 (23),0.101 (18),0.264 (15),0.226 (17),
161583,overfitting,0.288 (18),0.617 (21),0.223 (19),0.096 (23),0.258 (19),0.221 (19),
162259,brave,0.286 (19),0.636 (15),0.213 (25),0.104 (17),0.260 (18),0.219 (21),
175042,ll,0.281 (20),0.604 (24),0.224 (17),0.098 (21),0.254 (20),0.214 (25),
172044,JihyunLee,0.281 (21),0.616 (22),0.217 (24),0.087 (27),0.244 (27),0.223 (18),
175078,qiangqiang,0.281 (22),0.603 (25),0.223 (20),0.099 (20),0.252 (22),0.215 (23),
160989,xyqszbd,0.280 (23),0.604 (23),0.223 (18),0.087 (28),0.253 (21),0.213 (26),
174787,min_gao,0.280 (24),0.602 (26),0.222 (22),0.101 (19),0.250 (25),0.214 (24),
172127,johnny2304,0.280 (25),0.623 (20),0.210 (26),0.086 (30),0.251 (23),0.220 (20),
175051,llllllly,0.278 (26),0.598 (27),0.223 (21),0.096 (22),0.247 (26),0.212 (27),
171721,longpham3105,0.278 (27),0.623 (19),0.206 (27),0.085 (31),0.251 (24),0.218 (22),
174417,yingni,0.268 (28),0.596 (28),0.197 (29),0.088 (24),0.230 (29),0.209 (28),
176701,lzw,0.266 (29),0.585 (33),0.203 (28),0.087 (29),0.243 (28),0.208 (29),
148352,oskayhan,0.258 (30),0.587 (30),0.185 (33),0.078 (34),0.217 (36),0.202 (35),
170587,rootstar,0.258 (31),0.577 (35),0.191 (30),0.069 (37),0.217 (35),0.206 (30),
171444,jetzheng,0.258 (32),0.577 (36),0.189 (32),0.078 (36),0.219 (32),0.206 (32),
171700,mythZ,0.258 (33),0.576 (37),0.189 (31),0.078 (35),0.219 (33),0.206 (31),
174446,grazy,0.257 (34),0.586 (31),0.183 (36),0.088 (25),0.218 (34),0.203 (34),
171004,jasonHuang,0.257 (35),0.586 (32),0.183 (35),0.081 (32),0.221 (30),0.202 (36),
173674,bxb6668,0.257 (36),0.584 (34),0.184 (34),0.080 (33),0.219 (31),0.203 (33),
176794,jwhhs,0.253 (37),0.593 (29),0.173 (37),0.087 (26),0.191 (37),0.199 (37),
174423,jxH,0.232 (38),0.540 (38),0.164 (38),0.047 (40),0.189 (38),0.190 (38),
174431,rootV,0.227 (39),0.525 (39),0.164 (39),0.052 (38),0.185 (39),0.185 (39),
173574,X_Jimmy,0.223 (40),0.513 (40),0.162 (40),0.049 (39),0.184 (40),0.181 (40),
174404,wucq,0.215 (41),0.499 (41),0.155 (41),0.040 (41),0.173 (41),0.176 (41),
174398,Catlina,0.215 (41),0.499 (41),0.155 (41),0.040 (41),0.173 (41),0.176 (41),
