submission_pk,User,b'F1',b'P',b'R'
149728,dclaeser,0.92 (1),0.9087 (1),0.9408 (1),
150825,azk_codalab,0.91 (2),0.9047 (2),0.9238 (3),
150389,roshanvkhatri,0.87 (3),0.8256 (3),0.9281 (2),
