submission_pk,User,b'Accuracy'
117023,lnyang,93.29 (1),
75679,sislab,90.54 (2),
125240,BiBiKo,86.41 (3),
77532,seesee,80.65 (4),
76099,simplexsigil,51.57 (5),
67440,kalex,1.06 (6),
