submission_pk,User,b'Bit Score'
417906,VIE_77,0.41 (1),
414953,SAM_ZZU,0.41 (1),
409578,yolo10,0.41 (2),
413753,laod,0.40 (3),
405376,avengers,0.27 (4),
418041,audi666,0.25 (5),
365450,JuliaHofmann,0.24 (6),
413838,sukantabasu,0.21 (7),
417097,LIC,0.20 (8),
417795,tobesixty,0.19 (9),
417073,tobethemoon,0.16 (10),
325418,xg416,0.16 (11),
