submission_pk,User,b'Global IoU',b'Global IoU Bean',b'Global IoU Maize'
80379,ru_willow,0.83 (2),0.82 (1),0.83 (2),
80809,Rich_Li,0.83 (1),0.82 (2),0.84 (1),
80806,SoleMiao,0.83 (1),0.82 (2),0.84 (1),
