submission_pk,User,b'ARI'
253419,aayugay99,0.4965 (1),
252662,Gt854,0.3651 (2),
254515,Ryzagi,0.3645 (3),
254563,JuliaKudryavtseva,0.3232 (4),
256427,ooodnakov,0.3053 (5),
252002,chomsky,0.3020 (6),
251538,Nick,0.2949 (7),
256960,A.Demidova,0.2780 (8),
253727,lkuz_mik,0.2761 (9),
253659,maryushsoroka,0.2752 (10),
253807,Arkadiy_Vladimirov,0.2726 (11),
256239,_twinkle_,0.2721 (12),
256314,Loyso,0.2700 (13),
251300,azelentsov,0.2700 (14),
252538,andreuka18,0.2693 (15),
253751,Evgurov,0.2658 (16),
277558,kirakuznetsova,0.2579 (17),
253495,EvgeniyGarsiya,0.2531 (18),
251832,kuikek,0.2484 (19),
253777,alexsend57,0.2423 (20),
253528,libraa,0.2404 (21),
253314,art-bash,0.2377 (22),
252201,a.makhin,0.2335 (23),
251065,Vir_Ven,0.2270 (24),
253582,niksukhorukov,0.2266 (25),
255347,st_alex2902,0.2261 (26),
253800,abdulazizsamra,0.2241 (27),
253930,Anastasiia.Batsheva,0.2138 (28),
251002,jenchik1,0.2133 (29),
228765,lilaspourpre,0.2133 (29),
255394,GlebMazanov,0.2116 (30),
253618,happy_hippo,0.1939 (31),
253895,Anastasia,0.1917 (32),
253908,LaGrunje,0.1793 (33),
244904,artgoldman,0.1525 (34),
255279,Egor,0.1347 (35),
253803,vadimpyx,0.1196 (36),
253762,mashmallow,0.1039 (37),
278430,m_trofimov,0.0837 (38),
256264,Veronica_Ivanova,0.0644 (39),
253128,vadimartemov,0.0427 (40),
