submission_pk,User,b'Overall score',b'IoU',b'DLR',b'DBR',b'Precision',b'Leakage'
490812,xiaoliu.ding,0.8836 (1),0.8732 (2),0.8838 (2),0.8356 (2),0.9092 (11),0.9026 (11),
490548,TakashimaZakuro,0.8751 (2),0.8780 (1),0.8149 (3),0.7268 (3),0.9501 (4),0.9514 (5),
492764,MinghuiZhang,0.8623 (3),0.8232 (7),0.9067 (1),0.8722 (1),0.8718 (14),0.8479 (14),
490082,Larry.Z,0.8560 (4),0.8224 (8),0.7834 (5),0.6890 (5),0.9537 (3),0.9583 (4),
493288,sanmed_boyu,0.8477 (5),0.8016 (9),0.7865 (4),0.7219 (4),0.9301 (8),0.9357 (8),
474708,yhy0100501,0.8422 (6),0.8552 (3),0.7434 (9),0.6541 (9),0.9306 (7),0.9503 (6),
467540,yhqiu,0.8416 (7),0.8551 (4),0.7636 (7),0.6714 (6),0.9282 (9),0.9281 (9),
492650,wuyanan,0.8345 (8),0.8494 (5),0.7607 (8),0.6673 (7),0.9181 (10),0.9176 (10),
493880,lcuneo,0.8167 (9),0.8273 (6),0.6615 (13),0.5578 (13),0.9627 (2),0.9670 (2),
494168,gexing,0.8026 (10),0.6913 (15),0.6758 (12),0.5884 (10),0.9631 (1),0.9728 (1),
492287,leoleoleo66,0.7836 (11),0.7733 (10),0.7048 (10),0.5840 (11),0.8875 (12),0.8915 (12),
492351,Juneng_Huang,0.7807 (12),0.7720 (11),0.7016 (11),0.5769 (12),0.8859 (13),0.8895 (13),
458272,chenqiangjun,0.7714 (13),0.7383 (13),0.7714 (6),0.6606 (8),0.8303 (15),0.8211 (15),
486774,jyh6681,0.7191 (14),0.7539 (12),0.4417 (14),0.3492 (14),0.9389 (6),0.9482 (7),
474282,alike,0.7086 (15),0.7119 (14),0.4221 (15),0.3180 (15),0.9489 (5),0.9615 (3),
