submission_pk,User,b'<Rank>',b'Recall',b'Precision',b'F1',b'Accuracy',b'MCC'
176298,guneetsk99,2.0000 (8),0.9045 (1),0.8342 (3),0.8679 (2),0.8483 (2),0.6935 (2),
165932,PaulTrust,5.2000 (4),0.8933 (2),0.7990 (7),0.8435 (6),0.8173 (5),0.6314 (6),
163987,JuHyeon_Kim,3.0000 (7),0.8933 (2),0.8281 (4),0.8595 (3),0.8390 (3),0.6743 (3),
177852,msingh,4.0000 (6),0.8876 (3),0.8272 (5),0.8564 (4),0.8359 (4),0.6678 (4),
165748,nika,1.6000 (9),0.8820 (4),0.8674 (1),0.8747 (1),0.8607 (1),0.7180 (1),
174549,hiranmai,4.2000 (5),0.8652 (5),0.8415 (2),0.8532 (5),0.8359 (4),0.6676 (5),
72022,tanfiona,6.2000 (3),0.8652 (5),0.8063 (6),0.8347 (7),0.8111 (6),0.6172 (7),
176354,lapardnemihk9989,8.2000 (1),0.8146 (6),0.6776 (9),0.7398 (9),0.6842 (8),0.3563 (9),
63398,hansih,7.6000 (2),0.7303 (7),0.7514 (8),0.7407 (8),0.7183 (7),0.4326 (8),
