submission_pk,User,b'Equal Error Rate',b'Balanced Accuracy'
343803,kirant1994,0.095 (1),0.789 (1),
380557,UNSW_Signal_Processing,0.106 (2),0.779 (2),
344754,sushant.rc,0.111 (3),0.757 (3),
341189,dangkhoadl,0.188 (4),0.500 (7),
331243,vicchuayh,0.217 (5),0.509 (6),
341146,XJUSpeech,0.226 (6),0.609 (5),
343129,qwertt,0.230 (7),0.649 (4),
