submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
382027,ganzoo,29.951 (12),0.893 (10),-1.00 (1),1000.0000 (1),-1.00 (1),
379369,jiangli,32.423 (1),0.934 (1),-1.00 (1),1000.0000 (1),-1.00 (1),
376303,zhouzhou,29.925 (13),0.893 (11),-1.00 (1),684.0000 (2),-1.00 (1),
375048,CCjiahao,29.988 (11),0.893 (9),-1.00 (1),1000.0000 (1),-1.00 (1),
374953,yhy_gogo,30.276 (4),0.898 (4),-1.00 (1),1000.0000 (1),-1.00 (1),
374936,deepernewbie,29.664 (20),0.887 (25),-1.00 (1),1000.0000 (1),-1.00 (1),
374641,Good,29.826 (16),0.889 (17),-1.00 (1),1000.0000 (1),-1.00 (1),
373274,richlaji,29.864 (15),0.889 (16),-1.00 (1),1000.0000 (1),-1.00 (1),
350856,PixelBE,29.080 (29),0.876 (29),-1.00 (1),90.0000 (3),-1.00 (1),
343770,Dawns,29.080 (29),0.876 (29),-1.00 (1),90.0000 (3),-1.00 (1),
327960,threebee,30.130 (7),0.895 (8),-1.00 (1),1000.0000 (1),-1.00 (1),
327353,ysb8049,29.688 (19),0.890 (15),-1.00 (1),1000.0000 (1),-1.00 (1),
320127,nanashi,29.080 (29),0.876 (29),-1.00 (1),90.0000 (3),-1.00 (1),
319805,fvasluianu,29.080 (29),0.876 (29),-1.00 (1),90.0000 (3),-1.00 (1),
376209,elevrint,31.954 (2),0.933 (2),209.62 (5),1000.0000 (1),0.00 (2),
369018,yksheng,29.617 (22),0.888 (20),-1.00 (1),1000.0000 (1),0.00 (2),
368946,frangkyy,29.466 (27),0.885 (27),-1.00 (1),1000.0000 (1),0.00 (2),
365374,Layer,30.003 (10),0.891 (13),10.43 (4),1000.0000 (1),0.00 (2),
362172,LIUzibin,29.907 (14),0.890 (14),0.00 (2),1000.0000 (1),0.00 (2),
360536,Replicate,30.007 (9),0.891 (12),10.43 (4),1000.0000 (1),0.00 (2),
359266,SergiuNistor,29.186 (28),0.880 (28),-1.00 (1),1000.0000 (1),0.00 (2),
383233,ykh1123,29.604 (23),0.887 (24),10.43 (4),1000.0000 (1),1.00 (3),
374587,xiaokaoji,30.042 (8),0.895 (7),10.43 (4),1000.0000 (1),1.00 (3),
374299,jklovezhang,29.642 (21),0.887 (23),10.43 (4),1000.0000 (1),1.00 (3),
370564,kkkls,29.738 (17),0.888 (19),-1.00 (1),1000.0000 (1),1.00 (3),
369279,mingxi,29.554 (25),0.887 (22),10.43 (4),1000.0000 (1),1.00 (3),
368015,davy_zhang,29.500 (26),0.887 (26),10.43 (4),1000.0000 (1),1.00 (3),
368048,danny0411,29.580 (24),0.888 (21),0.03 (3),1000.0000 (1),1.00 (3),
365216,rlghksdbs,30.197 (5),0.896 (6),10.43 (4),1000.0000 (1),1.00 (3),
364016,lishen,30.188 (6),0.896 (5),10.43 (4),1000.0000 (1),1.00 (3),
361458,csbhr,29.721 (18),0.888 (18),-1.00 (1),1000.0000 (1),1.00 (3),
360033,dalang,30.417 (3),0.899 (3),10.43 (4),1000.0000 (1),1.00 (3),
