submission_pk,User,b'MainScore',b'Pearson',b'Spearman',b'FR [1] / NR [0]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
237109,sonata13,1.47 (62),0.75 (59),0.72 (65),1.00 (3),1.00 (1),1.00 (1),
89033,nanashi,1.46 (65),0.73 (67),0.73 (64),1.00 (3),0.00 (2),1.00 (1),
88733,burchim,1.46 (65),0.73 (67),0.73 (64),1.00 (3),0.00 (2),1.00 (1),
77890,cscaoyue,1.58 (39),0.79 (39),0.78 (37),1.00 (3),1.00 (1),1.00 (1),
77633,MarcoBuzzelli,1.24 (79),0.63 (79),0.61 (78),1.00 (3),1.00 (1),1.00 (1),
76937,Head_of_SCUT_Web_Security,0.87 (84),0.42 (84),0.45 (83),1.00 (3),1.00 (1),1.00 (1),
75749,kanlions,1.26 (77),0.64 (77),0.61 (77),1.00 (3),1.00 (1),1.00 (1),
321689,ysy0129,1.42 (71),0.71 (71),0.71 (69),1.00 (3),1.00 (1),0.00 (2),
311626,ysy1208,0.37 (85),0.21 (85),0.17 (85),1.00 (3),1.00 (1),0.00 (2),
310692,qingshi,1.27 (76),0.63 (78),0.63 (76),1.00 (3),0.00 (2),0.00 (2),
261473,ysy1111,1.60 (30),0.80 (28),0.79 (30),1.00 (3),1.00 (1),0.00 (2),
236835,ysy1022,1.60 (27),0.81 (26),0.80 (27),1.00 (3),1.00 (1),0.00 (2),
209441,ysy0930,1.53 (52),0.77 (53),0.76 (52),1.00 (3),1.00 (1),0.00 (2),
192060,lxl,1.63 (16),0.81 (21),0.82 (5),1.00 (3),1.00 (1),0.00 (2),
178240,shanggong,1.60 (26),0.80 (31),0.80 (23),1.00 (3),1.00 (1),0.00 (2),
173134,RemiKaz,1.21 (80),0.62 (80),0.60 (79),1.00 (3),1.00 (1),0.00 (2),
169189,test001,1.64 (3),0.83 (1),0.81 (10),1.00 (3),1.00 (1),0.00 (2),
129795,rtc,1.35 (75),0.68 (75),0.67 (75),1.00 (3),0.00 (2),0.00 (2),
127111,ysy,1.57 (44),0.79 (44),0.78 (43),1.00 (3),1.00 (1),0.00 (2),
90866,cmcc,1.45 (66),0.73 (66),0.72 (66),1.00 (3),0.00 (2),0.00 (2),
87574,yinf,1.60 (28),0.81 (25),0.80 (29),1.00 (3),0.00 (2),0.00 (2),
86986,asgges,0.92 (83),0.53 (83),0.38 (84),1.00 (3),0.00 (2),0.00 (2),
86216,Jolyne,1.61 (24),0.81 (24),0.80 (26),1.00 (3),0.00 (2),0.00 (2),
86192,nimo,1.61 (23),0.81 (23),0.80 (24),1.00 (3),0.00 (2),0.00 (2),
82893,ls,1.63 (19),0.81 (20),0.81 (15),1.00 (3),0.00 (2),0.00 (2),
82868,shanshan,1.61 (22),0.81 (22),0.80 (22),1.00 (3),0.00 (2),0.00 (2),
78885,ChuanchuanZheng,1.57 (43),0.79 (43),0.78 (41),1.00 (3),0.00 (2),0.00 (2),
78877,yuankun,1.57 (43),0.79 (43),0.78 (41),1.00 (3),0.00 (2),0.00 (2),
78763,Fury,1.64 (5),0.83 (4),0.81 (7),1.00 (3),0.00 (2),0.00 (2),
78718,trytry,1.65 (1),0.83 (2),0.82 (1),1.00 (3),0.00 (2),0.00 (2),
78657,bot,1.64 (6),0.83 (5),0.81 (8),1.00 (3),0.00 (2),0.00 (2),
78606,wth1919,1.60 (29),0.80 (29),0.80 (28),1.00 (3),0.00 (2),0.00 (2),
78566,girls1919,1.63 (18),0.82 (19),0.81 (14),1.00 (3),0.00 (2),0.00 (2),
78546,yiyiyihahaha,1.63 (17),0.82 (14),0.81 (19),1.00 (3),1.00 (1),0.00 (2),
78534,ryu,1.63 (15),0.82 (13),0.81 (18),1.00 (3),1.00 (1),0.00 (2),
78527,KujoJotaro,1.63 (14),0.82 (12),0.81 (17),1.00 (3),1.00 (1),0.00 (2),
78482,safi,1.64 (8),0.82 (11),0.81 (6),1.00 (3),0.00 (2),0.00 (2),
78471,k-zha14,1.59 (33),0.79 (34),0.79 (33),1.00 (3),0.00 (2),0.00 (2),
78435,Flyflyfly,1.45 (67),0.73 (65),0.71 (67),1.00 (3),0.00 (2),0.00 (2),
78432,JustTryTry,1.64 (7),0.82 (8),0.82 (3),1.00 (3),0.00 (2),0.00 (2),
78384,simple,1.63 (10),0.82 (10),0.81 (12),1.00 (3),0.00 (2),0.00 (2),
78374,wanghao1003,1.63 (11),0.82 (7),0.81 (16),1.00 (3),0.00 (2),0.00 (2),
78344,Linxu,1.51 (55),0.75 (57),0.76 (55),1.00 (3),0.00 (2),0.00 (2),
78316,ajfoiwe,1.63 (13),0.82 (17),0.81 (13),1.00 (3),0.00 (2),0.00 (2),
78251,NewBee,1.57 (40),0.79 (40),0.78 (42),1.00 (3),0.00 (2),0.00 (2),
78242,guoxixi,1.63 (12),0.82 (16),0.81 (11),1.00 (3),0.00 (2),0.00 (2),
78214,CongHeng,1.64 (4),0.83 (3),0.82 (4),1.00 (3),0.00 (2),0.00 (2),
78087,elonwong,1.64 (9),0.82 (9),0.81 (9),1.00 (3),0.00 (2),0.00 (2),
77937,ssw,1.64 (2),0.82 (6),0.82 (2),1.00 (3),0.00 (2),0.00 (2),
77914,yzZ,1.47 (63),0.74 (64),0.73 (62),1.00 (3),0.00 (2),0.00 (2),
77910,jvbrwg01528,1.60 (25),0.80 (27),0.80 (25),1.00 (3),0.00 (2),0.00 (2),
77873,Dio,1.58 (34),0.80 (32),0.78 (39),1.00 (3),1.00 (1),0.00 (2),
77775,davidfu,1.53 (53),0.77 (52),0.76 (53),1.00 (3),0.00 (2),0.00 (2),
77647,kxmesxk0eb,1.54 (47),0.78 (47),0.77 (47),1.00 (3),0.00 (2),0.00 (2),
77595,zry,1.62 (21),0.82 (18),0.81 (20),1.00 (3),1.00 (1),0.00 (2),
77551,JosefJoestar,1.62 (20),0.82 (15),0.81 (21),1.00 (3),1.00 (1),0.00 (2),
77540,FLT,1.54 (51),0.77 (51),0.77 (49),1.00 (3),0.00 (2),0.00 (2),
77414,joonheelee,1.44 (69),0.72 (70),0.71 (68),1.00 (3),0.00 (2),0.00 (2),
77406,Howie_Wong,1.50 (56),0.76 (55),0.74 (59),1.00 (3),0.00 (2),0.00 (2),
77404,gfbxst75390,1.58 (35),0.79 (37),0.79 (34),1.00 (3),0.00 (2),0.00 (2),
77337,gy-21,1.59 (32),0.80 (33),0.79 (31),1.00 (3),0.00 (2),0.00 (2),
77188,kivok,1.54 (51),0.77 (51),0.77 (49),1.00 (3),0.00 (2),0.00 (2),
76919,idsafu12490,1.50 (57),0.75 (58),0.75 (56),1.00 (3),0.00 (2),0.00 (2),
76600,ewonkyong,1.14 (82),0.58 (82),0.55 (82),0.00 (2),0.00 (2),0.00 (2),
76523,hwscut,1.56 (46),0.79 (45),0.77 (46),1.00 (3),0.00 (2),0.00 (2),
76451,cmygbk54021,1.54 (49),0.77 (49),0.76 (50),1.00 (3),0.00 (2),0.00 (2),
76359,Sicks,1.17 (81),0.61 (81),0.56 (81),1.00 (3),0.00 (2),0.00 (2),
76271,debut,1.44 (68),0.74 (63),0.70 (71),-1.00 (1),0.00 (2),0.00 (2),
75817,immortal,1.56 (45),0.78 (46),0.77 (45),1.00 (3),1.00 (1),0.00 (2),
75805,muortz31480,1.49 (59),0.74 (62),0.74 (58),1.00 (3),0.00 (2),0.00 (2),
75789,nrxola86047,1.58 (37),0.79 (38),0.79 (36),1.00 (3),0.00 (2),0.00 (2),
75783,xixixixi,1.46 (64),0.73 (68),0.73 (63),1.00 (3),1.00 (1),0.00 (2),
75736,tensorcat,1.40 (72),0.70 (72),0.70 (70),1.00 (3),1.00 (1),0.00 (2),
75672,xxxaaa,1.48 (61),0.74 (61),0.74 (60),1.00 (3),0.00 (2),0.00 (2),
75558,AKIvirusKes,1.42 (70),0.73 (69),0.70 (72),1.00 (3),0.00 (2),0.00 (2),
75545,PKP,1.24 (78),0.65 (76),0.59 (80),1.00 (3),0.00 (2),0.00 (2),
75461,lcmnjv80947,1.58 (38),0.79 (41),0.79 (35),1.00 (3),0.00 (2),0.00 (2),
75364,hanlkj26943,1.57 (42),0.79 (36),0.78 (44),1.00 (3),0.00 (2),0.00 (2),
75360,Komal,1.38 (74),0.70 (74),0.68 (74),1.00 (3),0.00 (2),0.00 (2),
75294,yjmuew07928,1.54 (48),0.77 (50),0.77 (48),1.00 (3),0.00 (2),0.00 (2),
75198,henghengjiji,1.54 (50),0.77 (48),0.76 (51),1.00 (3),0.00 (2),0.00 (2),
75181,lgd_magnus,1.53 (54),0.77 (54),0.76 (54),1.00 (3),0.00 (2),0.00 (2),
74751,Hodor,1.57 (41),0.79 (42),0.78 (40),1.00 (3),0.00 (2),0.00 (2),
74674,zy1723,1.39 (73),0.70 (73),0.69 (73),1.00 (3),0.00 (2),0.00 (2),
74139,mufxaz62479,1.59 (31),0.80 (30),0.79 (32),1.00 (3),0.00 (2),0.00 (2),
74096,xw59uht,1.58 (36),0.79 (35),0.78 (38),1.00 (3),0.00 (2),0.00 (2),
73776,juheon,1.48 (60),0.75 (60),0.73 (61),1.00 (3),0.00 (2),0.00 (2),
73167,mtl,1.50 (58),0.75 (56),0.74 (57),1.00 (3),0.00 (2),0.00 (2),
