submission_pk,User,b'Score',b'S-PSNR',b'G-PSNR'
319287,lxp0_0,25.84 (2),22.83 (2),26.17 (1),
317795,ly1105,26.19 (1),24.26 (1),25.00 (2),
322039,jiangchengzhi,23.90 (3),21.13 (8),23.33 (3),
321826,morven,23.79 (5),21.03 (10),23.25 (4),
294541,JongHyeon_Lee,23.69 (7),21.02 (11),23.02 (5),
303130,eason,23.81 (4),21.53 (5),22.96 (6),
321940,nbyqh,23.08 (15),19.80 (15),22.92 (7),
318999,gsb,23.61 (8),21.21 (7),22.87 (8),
307349,mialgo_ls,23.71 (6),21.53 (4),22.63 (9),
302542,pranjay,23.39 (10),21.12 (9),22.52 (10),
324460,YJingyu,22.13 (18),18.08 (19),22.48 (11),
320509,amazingqzy,23.55 (9),21.54 (3),22.44 (12),
318359,hhhfccz,23.23 (12),20.54 (14),22.38 (13),
322588,HuanZheng,23.29 (11),20.83 (12),22.35 (14),
289556,jenerzai,23.15 (13),20.72 (13),22.29 (15),
316008,gooooose,21.28 (20),16.83 (20),22.13 (16),
318639,lengyu.yb,22.59 (16),19.62 (17),22.12 (17),
323886,soony,23.12 (14),21.23 (6),22.08 (18),
321357,zrx,22.21 (17),18.99 (18),22.01 (19),
312100,ox_vgg,22.08 (19),19.69 (16),21.89 (20),
320371,SabariNathan,19.55 (21),15.60 (21),19.82 (21),
321576,leoiml,18.41 (22),13.11 (23),19.55 (22),
301786,priyakansal,18.23 (23),14.56 (22),18.19 (23),
