submission_pk,User,b'mIoU',b'accuracy'
311056,NonR_MinkNet,66.8 (59),90.8 (78),
288241,jcenaa,66.7 (60),91.0 (66),
310732,NonR_SPV,66.6 (61),90.8 (74),
209343,chensitao,66.6 (62),91.0 (68),
468362,Tqs,66.6 (63),90.8 (81),
255800,nnn,66.4 (64),91.0 (62),
466419,xidian1,66.4 (65),91.1 (55),
331297,WeberTUM,65.8 (66),90.8 (79),
275749,ikunfan,65.6 (67),90.5 (91),
307805,jianghc,65.5 (68),90.6 (89),
380970,point_test,65.3 (69),90.7 (84),
458579,dachr8,65.3 (70),90.5 (95),
492797,Cccccyh,65.3 (71),90.6 (87),
489042,caomeikedou,65.1 (72),89.9 (107),
255786,XXT,64.7 (73),90.0 (104),
310726,PolarM_Mink,64.7 (74),90.8 (72),
296695,dingben01,64.5 (75),90.8 (73),
424687,xiangru,64.4 (76),91.0 (64),
464717,ch,64.2 (77),91.9 (25),
431560,lirong,64.1 (78),90.7 (82),
230130,spyros.gidaris,64.0 (79),91.9 (22),
477553,BikeChen,64.0 (80),90.8 (75),
181049,skyshoumeng,63.9 (81),90.8 (77),
450567,mingxie,63.9 (82),90.8 (76),
352641,PolarM_SPVC,63.7 (83),90.9 (69),
387963,segcls,63.6 (84),91.1 (59),
320786,FranPi,63.4 (85),90.5 (94),
322044,jmr,63.3 (86),89.9 (108),
395376,Tianmeng,63.1 (87),90.8 (80),
295906,ClusterSeg,63.1 (88),89.4 (124),
475896,matmnrd,63.0 (89),90.5 (92),
466230,ghzhang,62.9 (90),85.2 (166),
291945,zc2023,62.7 (91),91.7 (30),
383001,KD,62.3 (92),90.7 (85),
483880,panzhen,62.0 (93),91.2 (50),
355584,RANet,61.8 (94),89.1 (132),
389073,buaa_zhihaoliao,61.6 (95),90.0 (105),
183336,YuhengLiu,61.4 (96),90.9 (70),
387424,ayushk,61.2 (97),92.0 (19),
389391,guido,61.2 (98),92.0 (18),
411677,EllaGrace,60.7 (99),90.2 (100),
260394,fengjiang0821,60.5 (100),89.4 (120),
381598,KelianM,60.2 (101),90.5 (90),
183873,gebreawe,59.8 (102),90.5 (96),
189022,Paopao,59.7 (103),91.2 (48),
