submission_pk,User,b'DER'
38087,strato,2.26 (1),
35727,aluminumbox,2.81 (2),
35847,z3c,3.29 (3),
35881,xakbz,5.61 (4),
35850,artemis,5.81 (5),
35812,aaaaar,8.89 (6),
35852,loiu94,8.98 (7),
36294,Mintcat,10.13 (8),
35650,mingzi,11.78 (9),
38911,M2MeT,15.24 (10),
35025,Charles.Wang,15.92 (11),
23998,CYFFF,17.82 (12),
34788,wantt,42.55 (13),
33399,westlake,42.55 (13),
24022,mycrzycracy,42.55 (13),
22243,Test,42.55 (13),
