submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
371272,Xman,30.74 (3),0.86 (4),-1.00 (1),-1.00 (5),-1.00 (1),
367845,AlisaWu,22.37 (32),0.64 (32),-1.00 (1),-1.00 (5),-1.00 (1),
358734,Ruilu_Wang,19.01 (33),0.45 (33),-1.00 (1),-1.00 (5),-1.00 (1),
355721,wyan,29.89 (20),0.84 (20),-1.00 (1),-1.00 (5),-1.00 (1),
348975,tobesixty,15.22 (34),0.18 (34),-1.00 (1),-1.00 (5),-1.00 (1),
342894,baifree,30.62 (9),0.86 (10),-1.00 (1),-1.00 (5),-1.00 (1),
330871,Una,30.06 (19),0.85 (17),-1.00 (1),-1.00 (5),-1.00 (1),
372279,m-wq,30.69 (6),0.86 (8),60.00 (20),1.00 (3),0.00 (2),
371937,RenJiahuan,30.22 (15),0.85 (19),0.02 (3),0.00 (4),0.00 (2),
371746,GomTeddyBear,27.21 (29),0.77 (28),1.25 (7),0.00 (4),0.00 (2),
371109,HomoMan,30.61 (10),0.86 (13),10.43 (18),0.00 (4),0.00 (2),
370738,IMAGHLee,30.69 (5),0.86 (5),10.00 (17),0.00 (4),0.00 (2),
370513,VBK21,28.44 (26),0.82 (24),-1.00 (1),-1.00 (5),0.00 (2),
369417,DD11,30.30 (13),0.85 (16),5.34 (13),0.00 (4),0.00 (2),
367949,Merenguelkl,30.12 (18),0.85 (14),5.00 (12),1.00 (3),0.00 (2),
366874,SRIB_AINR_23,29.17 (23),0.84 (21),-1.00 (1),-1.00 (5),0.00 (2),
364605,dehazingmax,29.32 (22),0.83 (23),8.00 (16),0.00 (4),0.00 (2),
361241,kongconf,30.78 (1),0.86 (3),3.63 (10),0.00 (4),0.00 (2),
361126,adityac8,30.70 (4),0.86 (6),4.00 (11),0.00 (4),0.00 (2),
359364,MedI,28.88 (25),0.81 (26),5.74 (15),0.00 (4),0.00 (2),
354702,GZIC_EE,29.65 (21),0.84 (22),13.43 (19),0.00 (4),0.00 (2),
352370,MahouShoujo,30.13 (17),0.87 (1),10.00 (17),0.00 (4),0.00 (2),
351604,juzihaoshuai,30.15 (16),0.85 (18),5.00 (12),0.00 (4),0.00 (2),
351560,yanghuabin,28.92 (24),0.81 (25),0.10 (4),0.00 (4),0.00 (2),
347574,AndrewPu,30.67 (7),0.86 (7),5.56 (14),0.00 (4),0.00 (2),
346138,yangbo,30.54 (12),0.86 (12),2.19 (9),0.00 (4),0.00 (2),
344160,ZHZhao,15.22 (34),0.18 (34),10.43 (18),0.00 (4),0.00 (2),
333891,xiaozhazha,27.24 (28),0.76 (31),0.13 (5),23560.00 (2),0.00 (2),
365407,ZhijunTu,30.77 (2),0.86 (2),10.43 (18),0.00 (4),1.00 (3),
360040,Turbo,27.15 (30),0.76 (30),10.43 (18),1.00 (3),1.00 (3),
352214,CVRG,26.94 (31),0.77 (29),1.03 (6),1.00 (3),1.00 (3),
350626,audi666,30.59 (11),0.86 (11),10.43 (18),1.00 (3),1.00 (3),
337871,LiangHao,30.22 (14),0.85 (15),1.87 (8),0.00 (4),1.00 (3),
331691,ir-sde,27.32 (27),0.79 (27),10.43 (18),1.00 (3),1.00 (3),
323035,ofsoundof,30.62 (8),0.86 (9),0.00 (2),3120000.00 (1),1.00 (3),
