submission_pk,User,b'Overall',b'Multihop',b'Qualifier',b'Comparison',b'Logical',b'Count',b'Verify'
410254,djj123,94.73 (1),94.08 (1),93.26 (1),97.90 (3),94.09 (1),86.76 (11),94.82 (4),
145139,leezy,94.72 (2),93.96 (4),92.70 (5),97.29 (6),93.94 (3),89.77 (3),94.34 (7),
409952,adu123,94.63 (3),93.98 (3),93.23 (2),97.94 (2),94.00 (2),86.38 (14),94.54 (5),
409923,Ada123,94.63 (3),94.00 (2),93.26 (1),98.04 (1),94.00 (2),86.16 (15),94.54 (5),
410236,cggcloud,94.57 (4),93.88 (5),92.87 (4),97.90 (3),93.76 (4),86.76 (11),94.96 (2),
409878,DoraDu,94.52 (5),93.88 (5),92.91 (3),97.90 (3),93.76 (4),86.46 (13),94.48 (6),
410215,cgg321,94.18 (6),93.47 (6),92.02 (6),97.66 (4),93.35 (5),86.61 (12),94.89 (3),
410157,cgg123,94.18 (6),93.47 (6),92.02 (6),97.66 (4),93.35 (5),86.61 (12),94.89 (3),
409851,duhuifang,93.97 (7),93.23 (7),91.78 (7),97.61 (5),92.99 (6),86.08 (16),94.48 (6),
285235,caoshulin,92.55 (8),91.70 (8),87.49 (9),96.21 (9),90.98 (9),89.84 (2),95.10 (1),
145373,design,92.55 (8),91.70 (8),87.49 (9),96.21 (9),90.98 (9),89.84 (2),95.10 (1),
145350,zd21,92.11 (9),90.72 (12),88.34 (8),95.84 (11),87.62 (15),88.56 (7),93.85 (11),
145058,SoFTbOiU,92.08 (10),91.21 (9),85.93 (14),97.29 (6),91.49 (7),90.74 (1),94.20 (8),
143877,peaceandlove,91.93 (11),91.04 (10),87.06 (10),96.45 (7),91.10 (8),89.24 (5),93.99 (10),
114097,qazwsx,91.77 (12),90.74 (11),86.81 (11),96.40 (8),90.71 (10),89.39 (4),93.72 (12),
143368,stellarkey,91.74 (13),90.58 (13),86.81 (11),96.45 (7),90.65 (11),89.09 (6),93.99 (10),
143652,hainanpal,91.48 (14),90.19 (14),85.75 (15),96.02 (10),90.29 (12),87.89 (8),93.16 (13),
144761,Danielznn16,91.16 (15),90.05 (15),86.10 (13),95.74 (12),89.90 (13),87.06 (10),93.02 (14),
144285,wang-zy21,90.32 (16),88.94 (16),86.28 (12),95.70 (13),86.00 (16),85.48 (17),94.13 (9),
144785,dragonslayer,90.07 (17),88.64 (17),85.71 (16),94.76 (14),85.34 (17),87.13 (9),93.16 (13),
93656,bart-baseline,88.49 (18),87.04 (18),82.28 (17),93.83 (15),87.83 (14),85.33 (18),90.61 (15),
466703,R1cardoL1u,78.76 (19),74.19 (19),69.12 (18),92.00 (16),70.74 (18),69.07 (19),85.01 (16),
