submission_pk,User,b'Error rate',b'Memory usage (MiB)',b'CPU time (ms)',b'Score'
367737,kawa_yo,0.0000100 (2),89.00 (1),0.032 (1),0.0664160 (1),
354703,EdiMuskardin,0.0000000 (1),120.00 (2),0.039 (2),0.0891704 (2),
407382,neuralchecker,0.0000000 (1),121.00 (3),0.072 (3),0.0934730 (3),
350150,TAYSIR-Baseline,0.5001800 (3),150.00 (4),0.166 (4),0.3740798 (4),
420285,r.hakimi,0.5001800 (3),158.00 (5),0.202 (5),0.3837155 (5),
