submission_pk,User,b'AUC-PR (Avg. Prec.)',b'Recall',b'AUC-ROC',b'Positive F1',b'Accuracy'
95006,ptaneja_522_P19,0.9604 (1),0.9472 (5),0.9946 (1),0.9161 (1),0.9930 (1),
95174,sgupta39_522_P10,0.9532 (2),0.7550 (27),0.9934 (3),0.8470 (8),0.9890 (7),
93888,skalyan2_522_P31,0.9493 (3),0.7732 (23),0.9921 (5),0.8585 (4),0.9897 (4),
94005,sponnur,0.9427 (4),0.7725 (24),0.9865 (7),0.8554 (5),0.9895 (6),
95236,ygbhansa_522_P02,0.9404 (5),0.7667 (25),0.9928 (4),0.8550 (6),0.9895 (5),
92496,sdmckone_422_P03,0.9335 (6),0.9492 (3),0.9838 (9),0.7873 (13),0.9794 (14),
93500,vvarada3_522_P31,0.9266 (7),0.9299 (9),0.9791 (11),0.8223 (11),0.9838 (12),
95144,rgautam3,0.9242 (8),0.8237 (18),0.9936 (2),0.8546 (7),0.9887 (8),
94904,hnthakka_522_P02,0.9207 (9),0.8208 (19),0.9894 (6),0.8762 (2),0.9907 (2),
94692,zmgrosec_522_17,0.9184 (10),0.9426 (7),0.9798 (10),0.6683 (16),0.9623 (19),
94786,sdharma2,0.9099 (11),0.7777 (22),0.9627 (17),0.8415 (10),0.9882 (10),
86015,thomaswp,0.9065 (12),0.7926 (21),0.9731 (14),0.8463 (9),0.9884 (9),
94936,sanders8_422_P18,0.9018 (13),0.8538 (16),0.9864 (8),0.8132 (12),0.9842 (11),
93898,rtalwar_522_23,0.8784 (14),0.8250 (17),0.9111 (24),0.8720 (3),0.9903 (3),
91704,vchalla2_522_P23,0.8449 (15),0.5784 (32),0.9738 (13),0.7188 (14),0.9818 (13),
93864,ceramire_522_1,0.7845 (16),0.9075 (12),0.9768 (12),0.5159 (23),0.9314 (29),
91815,psomash_522_P21,0.7632 (17),0.6938 (28),0.9436 (19),0.6911 (15),0.9750 (15),
93340,nvpatel4_422_P16,0.7553 (18),0.8879 (14),0.9653 (15),0.4817 (25),0.9231 (32),
92420,spidugu_522_G22,0.6774 (19),0.5890 (31),0.9649 (16),0.6551 (17),0.9750 (16),
93355,jgfagan_422_P05,0.6722 (20),0.9097 (10),0.9297 (21),0.5849 (19),0.9480 (24),
94643,prdevnan_522_P14,0.6537 (21),0.8073 (20),0.9262 (22),0.5578 (20),0.9485 (23),
94724,ylo,0.6061 (22),0.6169 (30),0.8846 (26),0.5907 (18),0.9656 (18),
94756,ylo_522_P07,0.6061 (22),0.6169 (30),0.8846 (26),0.5907 (18),0.9656 (18),
93047,mschiff_422_P16,0.5817 (23),0.9060 (13),0.9502 (18),0.3359 (28),0.8558 (35),
94569,aabate_522_P23,0.5775 (24),0.3896 (37),0.8621 (28),0.5352 (21),0.9728 (17),
94715,lshan3_522_P35,0.5620 (25),0.5478 (33),0.9360 (20),0.5306 (22),0.9610 (21),
94225,jpatel29_522_P15,0.5201 (26),1.0000 (1),0.5000 (43),0.0774 (42),0.0402 (43),
94721,mzdacana,0.5126 (27),0.9338 (8),0.7807 (34),0.1615 (36),0.6099 (38),
94732,nyprasad_422_P30,0.4987 (28),0.9737 (2),0.6714 (39),0.0931 (41),0.2365 (42),
94605,pabhije_522_P11,0.4945 (29),1.0000 (1),0.7484 (35),0.0774 (42),0.0402 (43),
94430,mjalahma,0.4903 (30),0.7637 (26),0.8409 (30),0.2073 (35),0.7650 (37),
93372,psurana_522_P11,0.4748 (31),0.9092 (11),0.4549 (44),0.0706 (43),0.0371 (44),
94809,chung4_522_P35,0.4233 (32),0.4801 (35),0.8477 (29),0.4966 (24),0.9608 (22),
94697,egshumat_422_P13,0.4204 (33),0.6693 (29),0.9211 (23),0.3897 (27),0.9156 (33),
93251,cpatel3,0.3419 (34),0.5455 (34),0.8164 (32),0.4218 (26),0.9398 (28),
93847,kdjain_522_P11,0.3306 (35),0.0605 (44),0.8664 (27),0.1127 (39),0.9617 (20),
92463,pyerra_422_P06,0.2853 (36),0.2506 (41),0.6128 (42),0.2713 (32),0.9458 (25),
94696,cajone22_422_P06,0.2687 (37),0.2636 (40),0.6165 (41),0.2668 (33),0.9417 (26),
92405,echrist_422_P04,0.2543 (38),0.3415 (38),0.7015 (37),0.3170 (29),0.9408 (27),
94865,jsmith43_422_33,0.2371 (39),0.8592 (15),0.8890 (25),0.3095 (30),0.8457 (36),
92454,hhasti_522_P27,0.1986 (40),0.4342 (36),0.7325 (36),0.2759 (31),0.9083 (34),
94557,mcshorb_422_P06,0.1853 (41),0.3144 (39),0.6799 (38),0.2595 (34),0.9278 (30),
94980,zlu5_522_P24,0.1816 (42),0.9452 (6),0.8336 (31),0.0956 (40),0.2803 (41),
94018,jtyates_522_10,0.1175 (43),0.1369 (42),0.7875 (33),0.1279 (37),0.9249 (31),
92178,cjthom24_522_P19,0.0543 (44),0.9483 (4),0.6495 (40),0.1150 (38),0.4124 (39),
94821,ajgreen6_522_P15,0.0472 (45),0.1107 (43),0.3057 (45),0.0148 (44),0.4072 (40),
