submission_pk,User,b'Prediction score',b'Duration'
98569,RomainMAG,0.2775 (1),0.00 (1),
64842,pachamama,0.2529 (2),0.00 (1),
100367,Fedy.Ben-Naceur,0.1971 (3),0.00 (1),
47090,ihsaan-ullah,0.0190 (4),0.00 (1),
192403,tkhuong,0.0179 (5),0.00 (1),
71852,pavao,0.0179 (5),0.00 (1),
