submission_pk,User,b'Acc'
153451,detectors_218,88.15704 (1),
153211,megvii_is_fp,87.85504 (2),
153448,mcislab840,87.53865 (3),
153427,ShitongShao,86.83397 (4),
152598,MiaoMiao,85.83447 (5),
150692,Wentian,85.75538 (6),
152996,test404,85.54685 (7),
153256,peisen,85.46775 (8),
152658,HuanranChen,84.92126 (9),
138897,wangyuqing,84.66240 (10),
136766,Jarvis-Tencent-KAUST,84.18782 (11),
153380,Lge,82.42612 (12),
152656,Zhang_San,81.36910 (13),
151480,Princy,80.72194 (14),
150408,ddd94,80.70756 (15),
153305,HKU-XMU-DG,80.24736 (16),
151124,GA-17,79.08967 (17),
121669,HaozheL,79.07529 (18),
151107,joonjeon,77.70188 (19),
153407,Rachel3210,77.18415 (20),
153300,Luyao,76.70238 (21),
143637,ZheWang,74.86158 (22),
110723,Nongqingpeng,73.14302 (23),
129341,jiaxisun,72.02848 (24),
150765,johndoe,71.33098 (25),
147845,Arashikagi,70.82045 (26),
123387,AndrewChen,70.35306 (27),
148972,lilei,68.36845 (28),
143538,yunquanzhu,68.13835 (29),
134930,sh19974488127,67.47681 (30),
150670,Kristine,66.67146 (31),
129691,LEI_Le-qi,66.57079 (32),
121076,shzr,64.49270 (33),
145691,Macondo,61.91127 (34),
95352,Sugar,61.02682 (35),
145748,Xiangxian_Li,60.35090 (36),
134873,ayay,59.53117 (37),
126362,sh2878002406,56.64054 (38),
134950,aballas,50.22650 (39),
87936,NICO-official,49.08320 (40),
153234,shunchang-liu,38.91565 (41),
140337,Chet,32.12052 (42),
143710,IMAG,29.66132 (43),
132249,Iloveconvnext,2.07090 (44),
86804,chrisole,1.86956 (45),
130213,TangyuanX,1.74013 (46),
