submission_pk,User,b'COMET',b'BLEU',b'NER-accuracy',b'ROUGE-L-F1'
44393,mfedorova,0.7834 (1),0.4470 (1),0.8078 (1),0.7129 (1),
80570,shershulya,0.7452 (2),0.4175 (2),0.7976 (2),0.6950 (2),
47143,eezhergina,0.6752 (3),0.4030 (3),0.7358 (3),0.6805 (3),
68729,c00k1ez,0.6581 (4),0.3912 (4),0.6979 (4),0.6703 (4),
80508,Alina97,0.5010 (5),0.2780 (5),0.6286 (5),0.5770 (5),
