submission_pk,User,b'Avg',b'mAP',b'Rank-1',b'Rank-5',b'Rank-10',b'mINP'
182884,juliojj,0.140062 (1),0.123852 (1),0.161154 (1),0.308179 (1),0.382523 (1),0.049448 (1),
215894,melaeric,0.107733 (2),0.094186 (2),0.125831 (2),0.256093 (2),0.322360 (2),0.035221 (2),
219207,neptune,0.000644 (3),0.001050 (3),0.000464 (3),0.002771 (3),0.005345 (3),0.000792 (3),
