submission_pk,User,b'Mean',b'Vehicle',b'Pedestrian',b'Cyclist'
169235,Novauto-Yolen,66.46 (1),77.59 (3),52.53 (5),69.28 (5),
168802,leimeng,63.95 (2),75.72 (2),49.91 (4),66.22 (3),
340844,declk,63.09 (3),78.35 (5),41.89 (2),69.02 (4),
469571,carrollmiao,61.20 (4),74.45 (1),43.36 (3),65.78 (2),
487092,Qrz,60.84 (5),78.08 (4),39.81 (1),64.62 (1),
