submission_pk,User,b'avg',b'ca_ancora',b'cs_pcedt',b'cs_pdt',b'de_parcorfull',b'de_potsdamcc',b'en_gum',b'en_parcorfull',b'es_ancora',b'fr_democrat',b'hu_szegedkoref',b'lt_lcc',b'pl_pcc',b'ru_rucor'
143516,straka,70.72 (1),78.18 (2),78.59 (1),77.69 (1),65.52 (2),70.69 (3),72.50 (2),39.00 (1),81.39 (1),65.27 (1),63.15 (3),69.92 (1),78.12 (2),79.34 (1),
143782,straka-single-multilingual-model,69.56 (2),78.49 (1),78.49 (2),77.57 (2),59.94 (3),71.11 (2),73.20 (1),33.55 (4),80.80 (2),64.35 (3),63.38 (2),67.38 (2),78.32 (1),77.74 (2),
168040,ondfa,68.54 (3),70.21 (4),74.44 (4),74.64 (4),70.76 (1),72.70 (1),71.31 (3),37.56 (2),72.59 (4),62.23 (4),65.94 (1),66.50 (3),75.36 (4),76.82 (3),
143778,straka-only-single-treebank-data,64.30 (4),76.34 (3),77.87 (3),76.76 (3),36.50 (5),56.65 (5),70.66 (4),23.48 (5),78.78 (3),64.94 (2),62.94 (4),61.32 (6),73.36 (5),76.26 (4),
143332,berulasek,59.72 (5),64.67 (5),70.56 (5),67.95 (5),38.50 (4),57.70 (4),63.07 (5),36.44 (3),66.61 (5),56.04 (5),55.02 (5),65.67 (4),65.99 (6),68.17 (5),
129376,sidoj,58.53 (6),63.74 (6),70.00 (6),67.27 (6),33.75 (6),55.44 (6),62.59 (6),36.44 (3),65.98 (6),55.55 (6),52.35 (6),64.81 (5),65.34 (7),67.66 (6),
143501,Moravec,55.05 (7),58.25 (7),68.19 (7),64.71 (7),31.86 (7),52.84 (7),59.15 (7),36.44 (3),62.01 (7),54.87 (7),52.00 (7),59.49 (7),63.40 (8),52.49 (7),
162106,k-sap,25.95 (8),17.49 (8),23.67 (8),27.94 (8),13.67 (9),40.59 (8),41.84 (8),22.34 (6),21.87 (8),0.00 (9),11.45 (9),21.91 (9),76.67 (3),17.88 (9),
143486,simple_baseline,18.14 (9),15.58 (9),5.51 (9),9.48 (9),29.81 (8),19.41 (9),21.99 (9),11.37 (7),16.64 (9),21.74 (8),17.00 (8),27.53 (8),15.69 (9),24.06 (8),
