submission_pk,User,b'Overall Accuracy',b'Instance IoU'
191121,yugaocheng.ls,0.000 (1),0.836 (1),
182584,zc824435664,0.000 (1),0.822 (2),
184481,wangjie123,0.000 (1),0.790 (3),
182673,YuanTang_hust,0.000 (1),0.762 (4),
