submission_pk,User,b'BLEU'
340439,BoughtColabProForThis,0.406279 (1),
339863,tzeentch,0.402902 (2),
337534,ececoffeeshop,0.391862 (3),
340348,ChatGTP,0.368544 (4),
340235,el18024,0.358830 (5),
340347,Groupp2,0.350346 (6),
336519,Shrimp,0.342019 (7),
340343,skou,0.341419 (8),
339794,orestiszar,0.338184 (9),
339699,andva,0.337361 (10),
340389,FaidraA,0.323719 (11),
340321,team1,0.308325 (12),
340066,el16503,0.282617 (13),
282074,gsiolas,0.282563 (14),
