submission_pk,User,b'F1 score'
436630,corpus_party,0.8425 (1),
435636,Bertify,0.8420 (2),
436674,Factchecker,0.8341 (3),
435610,TweetGPT_RAR,0.8332 (4),
437727,yolo_ELL881,0.8326 (5),
435220,AutoBot,0.8194 (6),
436801,vaibhavseth2283,0.7970 (7),
436684,intuition_and_conspire,0.5146 (8),
