submission_pk,User,b'J',b'F',b'J&F'
462859,optic,0.6630 (1),0.7466 (1),0.7048 (1),
336985,berry_,0.6406 (2),0.7253 (2),0.6830 (2),
480660,srcb_bqy,0.6188 (3),0.7074 (3),0.6631 (3),
491035,Kitte,0.5886 (4),0.6731 (4),0.6308 (4),
441168,m43,0.5637 (5),0.6449 (5),0.6043 (5),
426187,lll7733,0.5636 (6),0.6448 (6),0.6042 (6),
448542,bertrjul,0.5634 (7),0.6446 (7),0.6040 (7),
324120,ntuLC,0.5508 (8),0.6375 (8),0.5942 (8),
483272,fiskrt,0.5211 (9),0.6057 (9),0.5634 (9),
429974,igor185,0.5101 (10),0.5954 (10),0.5527 (10),
349415,zhangxiaosong18,0.5003 (11),0.5519 (12),0.5261 (11),
383588,virialdi,0.4770 (12),0.5562 (11),0.5166 (12),
421761,bohdan_sydor,0.4686 (13),0.5426 (13),0.5056 (13),
