submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
345651,avengers,31.0704 (10),0.85 (10),-1.00 (1),-1.00 (5),-1.00 (1),
340223,m-wq,29.1837 (22),0.81 (20),-1.00 (1),-1.00 (5),-1.00 (1),
324568,Una,30.4443 (16),0.83 (16),-1.00 (1),-1.00 (5),-1.00 (1),
351683,MahouShoujo,29.6775 (19),0.81 (19),10.00 (14),0.00 (4),0.00 (2),
350773,garasgaras,30.8350 (14),0.84 (14),7.20 (13),0.00 (4),0.00 (2),
350692,Celine,30.7829 (15),0.84 (15),0.33 (7),0.00 (4),0.00 (2),
345463,mandalinadagi,29.9839 (18),0.82 (18),73.79 (19),1.00 (3),0.00 (2),
344291,xuebuhui,30.8639 (12),0.84 (12),13.16 (16),0.00 (4),0.00 (2),
342377,MotaLee,30.9418 (11),0.84 (11),2.20 (9),0.00 (4),0.00 (2),
333880,Alex_Huang,31.3171 (4),0.85 (5),0.04 (3),433448.00 (2),0.00 (2),
333090,chaobaer,30.3909 (17),0.83 (17),0.13 (5),0.00 (4),0.00 (2),
329474,tiger,29.3028 (21),0.80 (22),0.12 (4),0.00 (4),0.00 (2),
329269,Okami,30.8626 (13),0.84 (13),5.20 (11),0.00 (4),0.00 (2),
327699,xiaozhazha,31.3972 (1),0.85 (2),0.13 (6),0.00 (4),0.00 (2),
327693,yeehengwang,29.3517 (20),0.80 (21),1.10 (8),0.00 (4),0.00 (2),
326032,jin1125,31.2198 (7),0.85 (7),0.00 (2),0.00 (4),0.00 (2),
342598,GWu,31.2582 (6),0.85 (4),14.00 (17),12024800.00 (1),1.00 (3),
339623,TaeHyungKim,31.3655 (3),0.85 (3),5.17 (10),0.00 (4),1.00 (3),
334121,ycc6,31.2775 (5),0.85 (8),15.00 (18),0.00 (4),1.00 (3),
331186,QianhuiLi,31.1346 (9),0.85 (9),15.00 (18),0.00 (4),1.00 (3),
326061,Xy_Chen,31.3963 (2),0.85 (1),6.00 (12),0.00 (4),1.00 (3),
325963,ZhijunTu,31.2198 (8),0.85 (6),10.43 (15),1.00 (3),1.00 (3),
