submission_pk,User,Challenge Score
,b'All Vertices'
490055,huze,70.8473 (1),,
492082,UARK-SUNY-Albany,61.2160 (2),,
493327,hosseinadeli,59.2244 (3),,
472303,CYHSM,58.9721 (4),,
472149,kyti,58.6272 (5),,
493328,cvailab,58.6097 (6),,
490839,takuya,58.3952 (7),,
493840,koelma,58.3249 (8),,
489492,ashes,57.0727 (9),,
490382,ChanceLevel,56.4433 (10),,
484542,zcboluo,53.9323 (11),,
472428,taru,53.5135 (12),,
485549,es123,52.0784 (13),,
493575,slavaheroes,50.0474 (14),,
482541,fractalencoders,49.5092 (15),,
472170,RLeipe,48.7589 (16),,
486390,dpan,48.7225 (17),,
473383,skynet,47.6533 (18),,
490571,PaulScotti,47.6376 (19),,
473384,jschubeck,45.2193 (20),,
472218,MASS,44.0524 (21),,
491994,Dandelion,43.7085 (22),,
473385,artem9k,43.0304 (23),,
484828,ffan,42.9663 (24),,
472302,giorgiocarbone,42.4919 (25),,
478833,Anonymous_user,42.3535 (26),,
472373,ConvolutionalSlayers,42.2471 (27),,
493202,csng_team,41.7998 (28),,
473499,ne,41.7412 (29),,
476609,Roman_Beliy,41.2527 (30),,
472374,flash00,40.3870 (31),,
472979,BJ_Summer,40.2981 (32),,
475352,aborovykh,40.1590 (33),,
493253,Riccardo-Chimisso,39.9926 (34),,
476667,yzl18,37.3623 (35),,
474333,lisq,36.8744 (36),,
490281,Mei,36.7625 (37),,
483931,beizai,36.4533 (38),,
472345,qrx,35.9417 (39),,
473465,trungpham,35.8158 (40),,
472118,jroth,34.4181 (41),,
493605,Yizhuo_Lu,34.3942 (42),,
493832,qasymjomart,32.4863 (43),,
472301,shinouta,32.3211 (44),,
472249,Cyb3rBlaze,31.9342 (45),,
473498,chandrakant,31.6927 (46),,
482204,Kriti,30.3472 (47),,
472343,ShijZ,27.6497 (48),,
472265,multivariate,22.9256 (49),,
473382,HomoDigitalis,22.4356 (50),,
472347,Cris,21.8303 (51),,
472221,Ryoto,21.8115 (52),,
486200,Subhrasankar,21.5636 (53),,
472282,shuhei019,18.6579 (54),,
474218,alex12341,17.4030 (55),,
472354,shinji,17.2762 (56),,
473467,nystrom,14.9991 (57),,
472145,chadyang,14.6997 (58),,
473497,tsneurotech,14.5501 (59),,
483962,advaith,13.9676 (60),,
473387,ping,10.4776 (61),,
472613,contestant1,9.3839 (62),,
472217,cuikailong,9.2913 (63),,
472191,swest19,9.1866 (64),,
472360,daochang-liu,8.2880 (65),,
493988,kadaj13,1.2807 (66),,
