submission_pk,User,b'Error rate',b'Memory usage (MiB)',b'CPU time (ms)',b'Score'
367738,kawa_yo,0.0000000 (1),90.00 (1),0.032 (1),0.0627416 (1),
420355,neuralchecker,0.0000000 (1),96.00 (2),0.057 (3),0.0669726 (2),
382456,EdiMuskardin,0.0000000 (1),119.00 (3),0.038 (2),0.0829482 (3),
350244,TAYSIR-Baseline,0.5001700 (2),150.00 (4),0.164 (4),0.3548888 (4),
