submission_pk,User,b'AUC',b'MRR',b'nDCG@5',b'nDCG@10'
181641,pengwj,0.7256 (1),0.3720 (1),0.4101 (1),0.4660 (1),
280486,tuyendv,0.7256 (1),0.3720 (1),0.4101 (1),0.4660 (1),
194361,quynhnl,0.7256 (1),0.3720 (1),0.4101 (1),0.4660 (1),
41122,who_am_I,0.7252 (2),0.3709 (2),0.4089 (2),0.4647 (2),
330165,luzepu,0.7211 (3),0.3676 (4),0.4047 (4),0.4608 (4),
310791,kevin_zzh,0.7208 (4),0.3676 (4),0.4046 (5),0.4608 (4),
371092,cgw,0.7201 (5),0.3688 (3),0.4059 (3),0.4617 (3),
314854,cuongnx20190040,0.7201 (5),0.3688 (3),0.4059 (3),0.4617 (3),
379024,mduofg,0.7186 (6),0.3630 (6),0.3989 (7),0.4557 (6),
18256,rollingUp,0.7175 (7),0.3632 (5),0.3998 (6),0.4562 (5),
262471,LeonChang,0.7157 (8),0.3612 (7),0.3966 (8),0.4532 (7),
213967,xdr,0.7139 (9),0.3591 (8),0.3937 (10),0.4509 (8),
33309,xcdt123,0.7118 (10),0.3584 (9),0.3939 (9),0.4502 (9),
250785,Rui,0.7116 (11),0.3573 (10),0.3922 (11),0.4489 (10),
32618,fake_news,0.7116 (11),0.3549 (13),0.3888 (14),0.4461 (13),
188977,vincentni,0.7108 (12),0.3560 (12),0.3906 (13),0.4473 (12),
479538,Yaobink,0.7101 (13),0.3567 (11),0.3918 (12),0.4487 (11),
179090,yujunhao,0.7081 (14),0.3535 (14),0.3866 (15),0.4436 (14),
359342,Ricky,0.7019 (15),0.3470 (16),0.3794 (18),0.4365 (17),
293782,mytest,0.7011 (16),0.3446 (20),0.3768 (21),0.4346 (20),
174778,chenyipu,0.6978 (17),0.3467 (17),0.3796 (17),0.4366 (16),
230836,testtesttest,0.6951 (18),0.3452 (19),0.3777 (20),0.4348 (18),
448024,xiaoxiang,0.6938 (19),0.3423 (23),0.3738 (24),0.4311 (22),
11042,smhe,0.6930 (20),0.3459 (18),0.3781 (19),0.4347 (19),
341055,MEM,0.6922 (21),0.3385 (27),0.3704 (29),0.4280 (26),
183127,Area,0.6918 (22),0.3412 (24),0.3722 (26),0.4297 (24),
214882,xiezheyong,0.6917 (23),0.3432 (21),0.3744 (22),0.4314 (21),
315707,kiennt10,0.6908 (24),0.3392 (25),0.3706 (27),0.4281 (25),
486565,nhom1_kpw,0.6906 (25),0.3493 (15),0.3822 (16),0.4380 (15),
11067,hhhhh,0.6902 (26),0.3412 (24),0.3730 (25),0.4297 (24),
406480,Yuemiao,0.6881 (27),0.3425 (22),0.3741 (23),0.4306 (23),
300550,hitarth.narvala,0.6881 (27),0.3374 (29),0.3667 (33),0.4229 (32),
422702,maiph,0.6876 (28),0.3377 (28),0.3685 (30),0.4253 (28),
87078,jiangyt,0.6874 (29),0.3391 (26),0.3705 (28),0.4275 (27),
249744,PekingXJL,0.6854 (30),0.3367 (30),0.3676 (31),0.4247 (29),
279300,ducchudinh,0.6844 (31),0.3363 (31),0.3670 (32),0.4238 (30),
316580,nghgphi,0.6837 (32),0.3358 (32),0.3662 (34),0.4233 (31),
113792,LPP,0.6834 (33),0.3330 (36),0.3622 (40),0.4198 (38),
