submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
160034,Juan,34.29 (7),0.93 (8),0.00 (3),0.00 (2),0.00 (1),
159732,baifree,37.45 (3),0.95 (2),0.00 (2),0.00 (2),0.00 (1),
159085,YuZhu,39.57 (1),0.96 (1),2.90 (10),0.00 (2),0.00 (1),
153959,blurArmy,34.47 (6),0.94 (5),10.43 (11),0.00 (2),0.00 (1),
152516,birdortyedi,34.22 (8),0.93 (7),0.00 (4),0.00 (2),0.00 (1),
152439,noahtcv,37.54 (2),0.95 (3),0.06 (7),1.00 (1),0.00 (1),
149215,andrealiu,36.87 (4),0.94 (6),1.89 (9),1.00 (1),0.00 (1),
145452,CVRG,33.03 (9),0.93 (9),0.05 (6),0.00 (2),0.00 (1),
139976,TongChuan,35.23 (5),0.95 (4),0.07 (8),1.00 (1),0.00 (1),
137343,nanashi,27.23 (11),0.88 (11),0.00 (5),1.00 (1),0.00 (1),
154080,keep888,32.68 (10),0.92 (10),-1.00 (1),-1.00 (3),-1.00 (2),
