submission_pk,User,b'F1 (Fine-grained)',b'Precision (Fine-grained)',b'Recall (Fine-grained)',b'F1 (Coarse-grained)',b'Precision (Coarse-grained)',b'Recall (Coarse-grained)'
312998,Anonymous,0.889 (1),0.884 (1),0.897 (1),0.965 (1),0.967 (1),0.964 (1),
312703,Anonymous,0.798 (2),0.792 (2),0.813 (2),0.913 (2),0.911 (2),0.915 (2),
308007,Anonymous,0.738 (3),0.749 (3),0.733 (6),0.832 (4),0.845 (4),0.820 (6),
312471,Anonymous,0.738 (4),0.726 (4),0.760 (3),0.808 (7),0.801 (7),0.815 (7),
312757,Anonymous,0.729 (5),0.724 (6),0.740 (4),0.826 (6),0.829 (5),0.823 (5),
311805,Anonymous,0.718 (6),0.715 (7),0.734 (5),0.828 (5),0.824 (6),0.831 (4),
312996,Anonymous,0.715 (7),0.726 (5),0.730 (7),0.876 (3),0.895 (3),0.858 (3),
313019,Anonymous,0.709 (8),0.714 (8),0.712 (8),0.788 (9),0.798 (8),0.779 (10),
312396,Anonymous,0.639 (9),0.633 (10),0.665 (11),0.769 (12),0.765 (14),0.774 (11),
311643,Anonymous,0.632 (10),0.617 (15),0.667 (10),0.784 (10),0.773 (13),0.797 (9),
311599,Anonymous,0.629 (11),0.620 (13),0.671 (9),0.793 (8),0.783 (10),0.803 (8),
312137,Anonymous,0.622 (12),0.639 (9),0.630 (12),0.778 (11),0.795 (9),0.762 (12),
312109,Anonymous,0.609 (13),0.628 (12),0.613 (14),0.768 (13),0.782 (11),0.756 (14),
305413,Anonymous,0.606 (14),0.603 (16),0.625 (13),0.755 (14),0.752 (15),0.759 (13),
448846,Anonymous,0.598 (15),0.618 (14),0.600 (16),0.722 (17),0.733 (16),0.712 (18),
305334,Anonymous,0.584 (16),0.577 (17),0.610 (15),0.732 (16),0.726 (17),0.738 (15),
309750,Anonymous,0.566 (17),0.629 (11),0.540 (18),0.747 (15),0.782 (12),0.717 (17),
304062,Anonymous,0.548 (18),0.532 (18),0.597 (17),0.705 (18),0.683 (19),0.730 (16),
311554,Anonymous,0.482 (19),0.522 (19),0.477 (19),0.686 (19),0.688 (18),0.684 (19),
310647,Anonymous,0.160 (20),0.269 (20),0.126 (20),0.225 (20),0.372 (20),0.170 (20),
