submission_pk,User,b'F1',b'P',b'R'
452616,Anonymous,0.99 (1),0.99 (1),0.99 (1),
478725,Anonymous,0.38 (2),0.44 (2),0.33 (2),
486627,Anonymous,0.00 (3),0.00 (3),0.00 (3),
