submission_pk,User,b'Average TPR@0.1FPR across the three scenarios'
302620,iamgroot42,0.1242 (3),0.0102 (8),0.0012 (4),0.5438 (4),0.0664 (4),0.5332 (4),
293702,kaiyao,0.1000 (13),0.0104 (7),0.0012 (4),0.5286 (14),0.0518 (10),0.5259 (10),
293691,rocco_m,0.1106 (8),0.0096 (10),0.0008 (5),0.5338 (7),0.0516 (11),0.5258 (11),
293694,rooney,0.1142 (7),0.0110 (5),0.0008 (5),0.5352 (6),0.0608 (9),0.5304 (9),
293696,TeamUSYD,0.1046 (10),0.0088 (12),0.0008 (5),0.5121 (16),0.0320 (13),0.5160 (13),
293698,mrsarthakgupta,0.1164 (6),0.0100 (9),0.0002 (6),0.5272 (15),0.0438 (12),0.5219 (12),
304168,micochallenge,0.1078 (9),0.0000 (13),0.0000 (7),0.5315 (9),0.0626 (6),0.5313 (6),
302517,NavyaGovind,0.1078 (9),0.0000 (13),0.0000 (7),0.5315 (9),0.0626 (6),0.5313 (6),
293699,npc,0.1028 (12),0.0094 (11),0.0000 (7),0.5024 (18),0.0120 (15),0.5060 (15),
293705,yyc,0.1078 (9),0.0000 (13),0.0000 (7),0.5315 (11),0.0626 (6),0.5313 (6),
293701,d_quest,0.1078 (9),0.0000 (13),0.0000 (7),0.5315 (12),0.0626 (6),0.5313 (6),
293700,Flesh,0.1282 (2),0.0122 (3),0.0000 (7),0.5431 (5),0.0646 (5),0.5323 (5),
293693,voncarlos,0.1040 (11),0.0000 (13),0.0000 (7),0.5117 (17),0.0258 (14),0.5129 (14),
293697,cheeky-monkey,0.1238 (4),0.0106 (6),0.0000 (7),0.5531 (1),0.0792 (1),0.5396 (1),
293703,cloned,0.1078 (9),0.0000 (13),0.0000 (7),0.5315 (10),0.0626 (6),0.5313 (6),
293704,wwwwhy,0.1078 (9),0.0000 (13),0.0000 (7),0.5315 (13),0.0624 (7),0.5312 (7),
