submission_pk,User,b'MainScore',b'Pearson',b'Spearman',b'FR [1] / NR [0]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
62788,gy-21,1.67 (10),0.84 (10),0.83 (10),1.00 (3),0.00 (2),0.00 (2),
62280,yzZ,1.59 (36),0.80 (37),0.79 (33),1.00 (3),0.00 (2),0.00 (2),
59675,hwscut,1.48 (47),0.75 (45),0.72 (49),1.00 (3),0.00 (2),0.00 (2),
59032,yaoshunyu,1.63 (25),0.83 (23),0.80 (26),1.00 (3),0.00 (2),0.00 (2),
58811,Spallop,1.52 (42),0.76 (44),0.75 (41),1.00 (3),0.00 (2),0.00 (2),
57585,kzs569,1.45 (51),0.74 (51),0.72 (51),1.00 (3),0.00 (2),0.00 (2),
56521,cenjinglun,1.57 (38),0.79 (38),0.78 (39),1.00 (3),1.00 (1),0.00 (2),
55082,flora,1.68 (7),0.85 (7),0.83 (6),1.00 (3),0.00 (2),0.00 (2),
47034,debut,1.51 (43),0.77 (43),0.75 (43),-1.00 (1),0.00 (2),0.00 (2),
45386,wjkim81,1.36 (60),0.69 (59),0.67 (60),1.00 (3),0.00 (2),0.00 (2),
43958,garasgaras,1.47 (48),0.74 (48),0.73 (48),1.00 (3),0.00 (2),0.00 (2),
