submission_pk,User,b'f_score',b'precision',b'recall'
470225,Anonymous,- (-),,,
submission_pk,User,b'Accuracy',b'accuracy_at_161',b'AUC'
470225,Anonymous,0.7222 (1),0.8025 (1),0.1896 (1),
submission_pk,User,b'F_score_AVG',b'F_score_T1',b'F_score_T2-1',b'F_score_T2-2',b'F_score_T2-3',b'F_score_T3'
470225,Anonymous,,- (-),,,,,
