submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'Parameters',b'Extra Data [1] / No Extra Data [0]'
78702,Saitomar,28.44 (79),0.82 (78),0.05 (33),290048.00 (20),1.00 (1),
78696,lihb,28.80 (5),0.83 (6),0.32 (55),831831.00 (62),1.00 (1),
78582,matteo,28.56 (73),0.82 (70),0.02 (8),1325228.00 (69),1.00 (1),
78579,ZTLIN,28.62 (66),0.83 (67),0.04 (26),222704.00 (8),1.00 (1),
78520,wdb12345,28.72 (26),0.83 (30),0.03 (17),361600.00 (33),1.00 (1),
78514,adityac8,28.82 (3),0.83 (3),0.17 (48),504854.00 (54),1.00 (1),
78472,shermanlian,28.70 (41),0.83 (44),0.10 (44),365408.00 (34),1.00 (1),
78473,chengshen,28.68 (49),0.83 (37),0.02 (11),289888.00 (19),1.00 (1),
78420,xiaomingdd233,28.62 (67),0.83 (63),0.04 (26),222704.00 (8),1.00 (1),
78393,mxjecho,28.75 (12),0.83 (10),0.03 (16),790500.00 (61),1.00 (1),
78378,neptune,28.69 (47),0.83 (42),0.64 (58),315811.00 (22),1.00 (1),
78365,tanwei0699,28.61 (68),0.82 (69),0.02 (6),560244.00 (55),1.00 (1),
78335,zhouchenhui,28.71 (34),0.83 (49),0.02 (10),272038.00 (12),1.00 (1),
78323,sunys,28.55 (74),0.82 (72),0.07 (37),285936.00 (18),1.00 (1),
78264,ShiruiHH,28.75 (10),0.83 (9),0.03 (19),380952.00 (37),1.00 (1),
78185,Gaodd,28.67 (56),0.83 (56),0.10 (44),338928.00 (29),1.00 (1),
78143,csbhr,28.68 (52),0.83 (54),0.02 (8),422000.00 (44),1.00 (1),
78058,chuminglin,28.71 (33),0.83 (27),0.03 (15),326040.00 (27),1.00 (1),
78036,kkkls,28.68 (53),0.83 (52),0.02 (8),422000.00 (44),1.00 (1),
78020,clever_frog,28.69 (48),0.83 (46),0.05 (30),358256.00 (32),1.00 (1),
77985,LI_Zheyuan,28.69 (42),0.83 (47),0.04 (27),156288.00 (3),1.00 (1),
77979,AlexZou,28.76 (9),0.83 (12),0.09 (43),683354.00 (58),1.00 (1),
77968,lj1995,28.70 (40),0.83 (48),0.02 (4),282688.00 (17),1.00 (1),
77928,wangzheyuan,28.72 (28),0.83 (25),0.14 (47),406504.00 (39),1.00 (1),
77831,FJNU223AZ,28.82 (4),0.83 (5),0.09 (43),683354.00 (58),1.00 (1),
77815,chenhao,28.47 (77),0.82 (76),0.02 (7),174865.00 (4),1.00 (1),
77714,SuperFarmer,28.70 (39),0.83 (20),0.07 (39),433448.00 (47),1.00 (1),
77690,stu_tools,28.68 (51),0.83 (35),0.04 (25),289888.00 (19),1.00 (1),
77678,cjy777,28.71 (34),0.83 (49),0.05 (35),572038.00 (56),1.00 (1),
77642,whu_tom,28.73 (20),0.83 (18),0.09 (43),704560.00 (59),1.00 (1),
77626,Alpan,28.75 (14),0.83 (17),0.04 (25),325616.00 (26),1.00 (1),
77480,jklovezhang,28.71 (35),0.83 (38),0.02 (8),376432.00 (36),1.00 (1),
77461,enoch,28.71 (35),0.83 (38),0.02 (8),376432.00 (36),1.00 (1),
77395,cheeun,28.57 (72),0.82 (73),-1.00 (1),247003.00 (10),1.00 (1),
77372,zy170609,28.72 (24),0.83 (14),0.11 (45),371532.00 (35),1.00 (1),
77270,zheng222,28.74 (18),0.83 (19),0.03 (14),275844.00 (14),1.00 (1),
77154,Una,28.16 (84),0.81 (83),0.69 (60),1554188.00 (70),1.00 (1),
76914,Usneek,28.02 (87),0.81 (87),0.30 (53),389552.00 (38),1.00 (1),
76915,hfgao,28.60 (69),0.83 (66),0.11 (45),1022100.00 (67),1.00 (1),
76917,lianghy,28.72 (23),0.83 (13),0.36 (56),371532.00 (35),1.00 (1),
76850,ChengC,28.57 (71),0.82 (71),0.31 (54),948144.00 (66),1.00 (1),
76796,lw1234,28.75 (12),0.83 (10),0.03 (16),790500.00 (61),1.00 (1),
76761,Gong_Jiali,28.65 (61),0.83 (59),0.07 (38),789808.00 (60),1.00 (1),
76733,deepernewbie,28.73 (21),0.83 (29),0.06 (36),316552.00 (23),1.00 (1),
76698,meiguang,28.64 (63),0.83 (64),0.02 (8),280098.00 (16),1.00 (1),
76685,YuanfeiHuang,28.68 (54),0.83 (51),0.02 (9),322965.00 (25),1.00 (1),
76589,TinyJie,28.71 (36),0.83 (34),0.04 (25),275239.00 (13),1.00 (1),
76519,yangtao9009,28.72 (22),0.83 (24),0.02 (11),477368.00 (49),1.00 (1),
76435,Wangfei,28.70 (38),0.83 (33),0.08 (41),588569.00 (57),1.00 (1),
76192,coco1020,28.70 (38),0.83 (33),0.08 (42),588569.00 (57),1.00 (1),
75700,YijianZhang,28.52 (75),0.82 (74),0.04 (24),406670.00 (40),1.00 (1),
75670,debut,28.75 (13),0.83 (10),0.05 (29),433448.00 (47),1.00 (1),
75608,AweWoo,28.67 (55),0.83 (53),0.07 (39),417216.00 (43),1.00 (1),
75588,Jingzhu_Tang,28.77 (8),0.83 (8),0.07 (39),338592.00 (28),1.00 (1),
75431,jkpark,28.30 (82),0.82 (81),0.22 (51),142712.00 (2),1.00 (1),
75424,Ssakura-go,28.63 (65),0.83 (62),0.29 (52),433448.00 (47),1.00 (1),
75351,SUPERSR2,28.75 (15),0.83 (32),0.02 (12),309664.00 (21),1.00 (1),
75296,CCjiahao,28.72 (27),0.83 (16),0.11 (45),501488.00 (53),1.00 (1),
75272,mashrur_morshed,28.09 (86),0.81 (86),0.03 (20),175348.00 (5),1.00 (1),
75029,Sunder_ali,28.93 (2),0.83 (1),0.08 (40),3631478.00 (72),1.00 (1),
74926,blurArmy,28.72 (25),0.83 (31),0.13 (46),241548.00 (9),1.00 (1),
74498,Reborn,28.95 (1),0.83 (2),0.66 (59),911628.00 (65),1.00 (1),
74479,stillwaters,28.24 (83),0.81 (82),0.05 (32),480528.00 (51),1.00 (1),
74388,Golf,28.75 (11),0.83 (15),0.05 (34),414008.00 (42),1.00 (1),
74344,icandle,28.66 (58),0.83 (55),0.03 (18),276192.00 (15),1.00 (1),
74314,kkp,28.66 (59),0.83 (60),0.19 (49),493684.00 (52),1.00 (1),
74224,Jet,28.69 (43),0.83 (43),0.06 (36),341066.00 (30),1.00 (1),
73907,lhl,28.75 (10),0.83 (9),0.05 (28),380952.00 (37),1.00 (1),
73835,balabala,28.63 (64),0.83 (65),0.05 (34),365408.00 (34),1.00 (1),
73831,longfeiqi,28.71 (37),0.83 (23),0.04 (25),480240.00 (50),1.00 (1),
73630,FixBug,28.69 (45),0.83 (41),0.08 (40),410232.00 (41),1.00 (1),
73617,cjy,28.69 (46),0.83 (61),0.10 (44),1154300.00 (68),1.00 (1),
73615,PixelBE,28.69 (44),0.83 (40),0.01 (2),863936.00 (64),1.00 (1),
73551,chjoost,28.74 (17),0.83 (39),0.10 (44),1154300.00 (68),1.00 (1),
73159,HatsuneMiku,28.67 (57),0.83 (58),0.02 (5),282688.00 (17),1.00 (1),
72990,kkfy,28.72 (29),0.83 (28),0.03 (13),317218.00 (24),1.00 (1),
72535,chenjingyi,28.75 (16),0.83 (36),0.10 (44),1754300.00 (71),1.00 (1),
63907,Golfness,28.72 (31),0.83 (21),0.05 (34),414008.00 (42),1.00 (1),
63825,Ruimian,28.72 (30),0.83 (22),0.05 (34),414008.00 (42),1.00 (1),
63664,hhh123,28.71 (32),0.83 (26),0.04 (21),451880.00 (48),1.00 (1),
78013,linhanjiang,28.79 (7),0.83 (4),0.20 (50),341388.00 (31),0.00 (2),
77745,neonrocks,28.44 (80),0.82 (79),0.04 (23),190896.00 (7),0.00 (2),
77703,xuqian,28.47 (78),0.82 (77),0.04 (22),433447.00 (46),0.00 (2),
77257,Layer,28.68 (50),0.83 (45),0.05 (34),175883.00 (6),0.00 (2),
76528,akcan,28.60 (70),0.83 (68),0.01 (3),836136.00 (63),0.00 (2),
76366,SamsungMSL,28.52 (76),0.82 (75),0.05 (31),262512.00 (11),0.00 (2),
74132,Abhishek_SInha,27.44 (88),0.79 (88),0.52 (57),423404.00 (45),0.00 (2),
73596,XiaoPang,28.65 (60),0.83 (50),0.07 (39),433448.00 (47),0.00 (2),
78289,QAQ,28.64 (62),0.83 (57),-1.00 (1),-1.00 (1),-1.00 (3),
77867,Syed,28.16 (85),0.81 (85),-1.00 (1),-1.00 (1),-1.00 (3),
77760,jr,28.35 (81),0.82 (80),-1.00 (1),-1.00 (1),-1.00 (3),
77623,NCEPU_Kevin,28.79 (6),0.83 (7),-1.00 (1),-1.00 (1),-1.00 (3),
76890,Alex_Huang,28.74 (19),0.83 (11),-1.00 (1),-1.00 (1),-1.00 (3),
76757,liwa,28.75 (12),0.83 (10),-1.00 (1),-1.00 (1),-1.00 (3),
74647,kakamakaka,26.50 (89),0.81 (84),-1.00 (1),-1.00 (1),-1.00 (3),
