submission_pk,User,b'MAP',b'MRR'
279691,Anastasiia.Batsheva,0.93 (1),0.95 (1),
279640,LaGrunje,0.83 (2),0.94 (2),
280444,kirakuznetsova,0.49 (3),0.52 (3),
279713,luckyman28,0.48 (4),0.52 (4),
22755,NadezhdaAlsahanova,0.48 (5),0.52 (5),
22751,FALCON25000,0.43 (6),0.46 (6),
22372,Andrei.Erofeev,0.42 (7),0.45 (7),
279694,niksukhorukov,0.42 (8),0.45 (8),
278868,Vir_Ven,0.42 (8),0.45 (8),
22601,olya-const,0.42 (8),0.45 (8),
22095,inflover,0.42 (8),0.45 (8),
11517,lilaspourpre,0.42 (8),0.45 (8),
22368,AlexeyOlkhovikov_,0.39 (9),0.43 (9),
22195,albertSayapin,0.24 (10),0.26 (10),
279711,azelentsov,0.15 (11),0.16 (11),
22739,prosvirinKir,0.11 (12),0.12 (12),
23302,Egor_Zakharov,0.10 (13),0.11 (13),
22734,SergeyPetrakov,0.00 (14),0.00 (14),
22425,NikitaBaramiia,0.00 (15),0.00 (15),
