submission_pk,User,b'EER'
421413,Team_Spirit,0.8963 (1),
419763,smiip,0.8312 (2),
439226,tianye,0.7934 (3),
421323,ZXM,0.7541 (4),
421308,Rachel_Wang,0.7355 (5),
475499,Kairo,0.7350 (6),
421017,ikwak2,0.7205 (7),
421466,XIE,0.6815 (8),
416211,xiang71,0.6378 (9),
420492,honee,0.2110 (10),
416229,realguard,0.1173 (11),
