submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
160057,Juan,30.54 (12),0.79 (13),0.01 (5),0.00 (2),0.00 (1),
159867,lly,30.19 (13),0.78 (14),0.01 (6),0.00 (2),0.00 (1),
159485,sayednadim,33.10 (6),0.85 (6),0.26 (8),0.00 (2),0.00 (1),
158873,YuZhu,36.42 (1),0.88 (1),2.90 (12),0.00 (2),0.00 (1),
158606,TongChuan,32.87 (7),0.85 (7),0.31 (9),1.00 (1),0.00 (1),
156027,andrealiu,34.44 (4),0.85 (4),1.89 (11),1.00 (1),0.00 (1),
154465,baifree,34.70 (3),0.85 (3),0.00 (3),0.00 (2),0.00 (1),
153963,blurArmy,32.08 (10),0.84 (11),10.43 (13),0.00 (2),0.00 (1),
151767,birdortyedi,32.72 (8),0.85 (8),0.00 (4),0.00 (2),0.00 (1),
144363,noahtcv,35.25 (2),0.86 (2),0.06 (7),1.00 (1),0.00 (1),
144315,yinzhicun,33.16 (5),0.85 (5),0.96 (10),1.00 (1),0.00 (1),
137341,nanashi,9.95 (16),0.32 (16),0.00 (2),1.00 (1),0.00 (1),
158480,jinhakim,32.17 (9),0.84 (9),-1.00 (1),-1.00 (3),-1.00 (2),
156106,W_mark,31.82 (11),0.84 (10),-1.00 (1),-1.00 (3),-1.00 (2),
154073,keep888,29.91 (14),0.83 (12),-1.00 (1),-1.00 (3),-1.00 (2),
138020,mialgo_ls,27.09 (15),0.76 (15),-1.00 (1),-1.00 (3),-1.00 (2),
