submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
73334,pavelost,25.1128 (1),0.7290 (1),0.00 (2),1.00 (1),0.00 (2),
73255,lubovbyc,25.0912 (2),0.7162 (4),0.00 (2),0.00 (2),0.00 (2),
73254,tszs,25.0890 (3),0.7170 (2),-1.00 (1),-1.00 (3),-1.00 (3),
73243,YUNR,25.0608 (4),0.7164 (3),-1.00 (1),-1.00 (3),-1.00 (3),
72989,nagejacob,24.9244 (5),0.7146 (5),-1.00 (1),-1.00 (3),-1.00 (3),
73360,CV-SR,24.9022 (6),0.7142 (6),1.00 (12),1.00 (1),0.00 (2),
70371,zhangzhilu,24.8832 (7),0.7135 (7),-1.00 (1),-1.00 (3),-1.00 (3),
70031,hasaki,24.8114 (8),0.7087 (9),-1.00 (1),0.00 (2),-1.00 (3),
63751,Steven,24.7251 (9),0.7100 (8),10.00 (16),1.00 (1),0.00 (2),
72972,csbhr,24.6846 (10),0.7066 (10),9.11 (15),0.00 (2),1.00 (1),
62787,YijianZhang,24.6772 (11),0.7040 (13),-1.00 (1),0.00 (2),0.00 (2),
65268,liangby,24.6136 (12),0.7041 (12),0.00 (2),0.00 (2),0.00 (2),
72539,wangqian,24.5708 (13),0.7052 (11),0.00 (2),0.00 (2),0.00 (2),
61594,kris,24.5382 (14),0.7035 (15),-1.00 (1),0.00 (2),1.00 (1),
68485,superSR,24.5278 (15),0.7037 (14),0.00 (2),0.00 (2),0.00 (2),
73164,yinc,24.5030 (16),0.7029 (16),-1.00 (1),-1.00 (3),-1.00 (3),
69642,hyang,24.5030 (16),0.7029 (16),-1.00 (1),-1.00 (3),-1.00 (3),
62752,sr_enhance,24.4961 (17),0.7028 (17),0.00 (2),1.00 (1),0.00 (2),
54192,ax,24.4876 (18),0.6985 (25),0.00 (2),1.00 (1),1.00 (1),
64209,Mrobot,24.4715 (19),0.7018 (19),0.00 (2),0.00 (2),0.00 (2),
50498,AvengersAssemble,24.4480 (20),0.7018 (18),-1.00 (1),0.00 (2),-1.00 (3),
60419,BookerDewitt65,24.4291 (21),0.6971 (26),0.00 (2),0.00 (2),0.00 (2),
54687,lchia,24.4214 (22),0.7008 (20),10.43 (17),0.00 (2),0.00 (2),
58342,haha,24.4008 (23),0.6998 (22),0.00 (2),1.00 (1),0.00 (2),
72824,Hwayne,24.3605 (24),0.7001 (21),1.00 (12),1.00 (1),0.00 (2),
65190,lx,24.3600 (25),0.6986 (24),0.00 (2),1.00 (1),0.00 (2),
63374,CVman,24.3110 (26),0.6987 (23),0.29 (7),0.00 (2),0.00 (2),
64260,chenmigongzuo,24.2711 (27),0.6969 (27),1.00 (12),0.00 (2),0.00 (2),
71781,Xingbei,24.2619 (28),0.6936 (32),-1.00 (1),-1.00 (3),-1.00 (3),
72595,lixin41,24.2585 (29),0.6960 (29),0.00 (2),1.00 (1),0.00 (2),
71189,sunshinedada,24.2559 (30),0.6966 (28),0.00 (2),0.00 (2),0.00 (2),
73170,lillythecutie,24.2455 (31),0.6959 (30),1.90 (14),0.00 (2),0.00 (2),
60633,wg234567p,24.2124 (32),0.6954 (31),0.00 (2),1.00 (1),0.00 (2),
52776,LiangbinXie,24.1356 (33),0.6934 (33),0.16 (5),1.00 (1),1.00 (1),
50972,Chi,24.1141 (34),0.6913 (34),0.00 (2),1.00 (1),0.00 (2),
59850,wenkai,24.0826 (35),0.6884 (35),0.14 (4),0.00 (2),0.00 (2),
56031,Savas,24.0434 (36),0.6856 (39),1.00 (12),0.00 (2),-1.00 (3),
48251,SOTA_TIP21,24.0163 (37),0.6874 (37),-1.00 (1),-1.00 (3),-1.00 (3),
63134,Yulin_HUANG,23.9694 (38),0.6857 (38),0.86 (11),0.00 (2),0.00 (2),
69527,lihb,23.9604 (39),0.6878 (36),0.60 (10),0.00 (2),0.00 (2),
53815,frederik,23.7986 (40),0.6749 (42),0.00 (2),1.00 (1),0.00 (2),
59862,Sunder_ali,23.6830 (41),0.6743 (43),-1.00 (1),-1.00 (3),-1.00 (3),
56804,CucZ,23.6171 (42),0.6802 (40),-1.00 (1),-1.00 (3),-1.00 (3),
57746,XiaofengPan,23.5816 (43),0.6764 (41),0.53 (9),0.00 (2),0.00 (2),
73021,RenYang,23.4774 (44),0.6600 (44),0.00 (2),1.00 (1),0.00 (2),
51350,Finn_zhang,23.4446 (45),0.6556 (45),0.10 (3),1.00 (1),1.00 (1),
43044,thongbach,23.4124 (46),0.6523 (47),1.20 (13),0.00 (2),0.00 (2),
55173,luckydog,23.2952 (47),0.6530 (46),0.40 (8),1.00 (1),1.00 (1),
72390,Hassan001,23.1424 (48),0.6499 (48),0.20 (6),0.00 (2),0.00 (2),
52658,Larry,23.0677 (49),0.6270 (49),0.00 (2),0.00 (2),1.00 (1),
