submission_pk,User,b'Set1 NumPareto (avg)',b'Set1 NumPareto (stddev)',b'Set2 NumPareto (avg)',b'Set2 NumPareto (stddev)',b'Set3 NumPareto (avg)',b'Set3 NumPareto (stddev)'
139326,AutoMLFreiburg,7.00 (1),0.00 (1),14.00 (1),0.00 (1),- (-),- (-),
139123,MecLotfi,7.00 (1),0.00 (1),14.00 (1),0.00 (1),- (-),- (-),
80617,xuanzhang216,3.60 (2),1.17 (3),5.10 (2),5.22 (5),- (-),- (-),
135821,LuKing11,2.60 (3),1.07 (2),3.10 (5),1.91 (4),- (-),- (-),
135180,nabenabe0928,2.40 (4),1.17 (3),3.70 (4),1.25 (3),- (-),- (-),
95481,kevinduh,2.00 (5),1.63 (4),3.90 (3),1.20 (2),- (-),- (-),
