submission_pk,User,b'UIoU',b'Average UIoU',b'IoU'
487702,Tian_qj,65.72 (1),-100.00 (80),65.72 (1),
469805,ding,65.43 (2),-100.00 (80),65.43 (2),
174127,brdavid,63.91 (3),-100.00 (80),63.91 (4),
296746,rrroris,63.25 (4),-100.00 (80),63.25 (5),
468941,lonny163,63.05 (5),-100.00 (80),63.05 (6),
400231,lwyqq,62.71 (6),-100.00 (80),62.71 (10),
334878,zyr123,62.65 (7),-100.00 (80),62.65 (12),
419580,lwypku,61.75 (8),-100.00 (80),61.75 (13),
427222,Ablia,61.00 (9),-100.00 (80),61.00 (15),
485575,DLMU_Miao,60.68 (10),-100.00 (80),60.68 (16),
409566,lwyzj,60.56 (11),-100.00 (80),60.56 (17),
400368,fajaro1095,60.19 (12),-100.00 (80),60.19 (19),
485530,lynphd,59.41 (13),-100.00 (80),59.41 (21),
344281,jjjj222,58.93 (14),-100.00 (80),58.93 (24),
421198,fangzhou2000,58.91 (15),-100.00 (80),58.91 (25),
178542,y13210021,58.84 (16),-100.00 (80),58.84 (26),
456507,carline,58.53 (17),-100.00 (80),58.53 (27),
155794,test2,57.95 (18),-100.00 (80),57.95 (29),
456544,vossa,57.46 (19),-100.00 (80),57.46 (31),
346397,xbjxbjj,57.46 (19),-100.00 (80),57.46 (31),
352601,xbjxbjjj,56.80 (20),-100.00 (80),56.80 (34),
173138,er_yang,56.21 (21),-100.00 (80),56.21 (35),
491693,sak,56.12 (22),59.56 (1),59.56 (20),
353522,christos.sakaridis,56.12 (22),58.97 (2),58.97 (23),
343717,pqliao163,56.00 (23),56.00 (3),56.00 (36),
426199,star8,55.98 (24),-100.00 (80),55.98 (37),
192670,dch,55.94 (25),-100.00 (80),55.94 (38),
165640,HRDA,55.91 (26),-100.00 (80),55.91 (39),
324710,KiwiXR,55.48 (27),-100.00 (80),55.48 (41),
379467,d_3_12_4,55.35 (28),55.35 (4),55.35 (42),
277343,zhangbao,55.35 (28),-100.00 (80),55.35 (42),
379136,pqliao139,55.34 (29),55.34 (5),55.34 (43),
344109,qz_02_3_8,55.21 (30),55.21 (6),55.21 (44),
341267,qz_02_3_9,55.19 (31),55.19 (7),55.19 (45),
277843,pengxin,55.14 (32),-100.00 (80),55.14 (46),
347274,qz_02_3_7,55.03 (33),55.03 (8),55.03 (47),
338464,qz_02_3_1,55.03 (33),55.03 (8),55.03 (47),
349926,pqliao-jly,55.02 (34),55.02 (9),55.02 (48),
319010,dark_4759_0,54.91 (35),54.91 (10),54.91 (49),
290581,dark_23_01_06,54.89 (36),54.89 (11),54.89 (50),
297861,Rho,54.86 (37),54.86 (12),54.86 (51),
