submission_pk,User,b'HOTA',b'AssA',b'DetA',b'MOTA',b'IDF1',b'IDs',b'Frag'
489892,uwipl-ciel-ggl,76.926 (1),67.199 (2),88.145 (2),96.269 (1),79.245 (2),2727.0 (2),3144.0 (1),
173321,BOE_AIoT_CTO,76.264 (2),73.538 (1),79.180 (6),89.316 (8),84.453 (1),2567.0 (1),6104.0 (5),
176372,PingPingPangPangBangBangBang,74.899 (3),64.592 (3),86.968 (3),95.590 (3),78.342 (3),4853.0 (6),4536.0 (4),
176107,OverWhelmingFIt,73.225 (4),60.855 (4),88.205 (1),96.018 (2),73.963 (5),3405.0 (5),4123.0 (3),
170636,MiaoMiao,71.489 (5),59.548 (6),85.945 (4),93.632 (6),73.892 (6),11271.0 (9),11949.0 (9),
176148,xiaochangcheng,70.989 (6),59.002 (7),85.519 (5),94.446 (5),71.883 (7),3085.0 (4),3849.0 (2),
176323,Ben,68.833 (7),60.325 (5),78.642 (8),89.336 (7),75.743 (4),2948.0 (3),8066.0 (7),
169388,hr,60.536 (8),46.483 (8),79.098 (7),89.087 (9),59.823 (9),7495.0 (7),15055.0 (10),
174603,finalcode,56.239 (9),44.249 (9),71.574 (10),88.620 (10),62.763 (8),8180.0 (8),11423.0 (8),
173367,XueXue,53.463 (10),37.900 (10),75.999 (9),94.518 (4),57.203 (10),16873.0 (10),7375.0 (6),
