submission_pk,User,b'MAP',b'MRR'
279689,Anastasiia.Batsheva,0.93 (1),0.95 (1),
279642,LaGrunje,0.83 (2),0.94 (2),
278973,alexsend57,0.49 (3),0.53 (3),
279584,bbogdanovaalina,0.49 (4),0.53 (4),
280398,kirakuznetsova,0.49 (5),0.52 (5),
279715,luckyman28,0.48 (6),0.52 (6),
280004,azelentsov,0.15 (7),0.16 (7),
