submission_pk,User,b'mIoU',b'ExecutionTime'
482998,lihengzhong,0.54547 (1),69.60944 (27),
461277,yixinzhishui,0.53615 (2),73.55513 (22),
214233,rssisu,0.52141 (3),68.14914 (33),
384581,HUp,0.51944 (4),69.49503 (28),
248852,bf,0.51785 (5),94.40373 (12),
285623,ShuchangLYU,0.50277 (6),71.39073 (24),
230206,uda,0.50266 (7),65.15919 (38),
443295,scu_cmpunk,0.50062 (8),60.47004 (43),
47145,edornd,0.49750 (9),113.94831 (5),
81037,deoxys,0.49364 (10),114.49988 (3),
328405,keepmecrazy,0.48778 (11),103.11022 (8),
441973,Jianfan,0.48753 (12),63.47829 (41),
493116,liujiawei,0.48048 (13),76.86761 (20),
52878,linshan,0.46356 (14),107.90946 (7),
306257,zhengyilin,0.46269 (15),68.22634 (32),
182442,Jensen,0.46156 (16),115.07446 (2),
357567,lwr2012,0.46138 (17),79.51515 (18),
480627,wankang,0.45950 (18),63.39713 (42),
52886,yyc,0.44501 (19),95.97897 (11),
290500,PeterShi,0.43933 (20),75.03803 (21),
155961,Leih,0.42984 (21),89.53430 (16),
399949,LoveDM,0.42604 (22),68.14246 (34),
229052,jbnuc,0.42517 (23),96.58826 (10),
324519,yuting,0.42453 (24),68.80393 (29),
190392,Alanosu,0.41841 (25),69.83117 (25),
52877,kingdrone,0.41323 (26),78.59637 (19),
52883,abc,0.41323 (27),120.39004 (1),
451670,feeling,0.40830 (28),64.80207 (39),
396179,liuwang20144623,0.40674 (29),68.36457 (31),
140936,coral,0.39799 (30),113.00364 (6),
252791,Henryljp,0.39493 (31),67.41375 (35),
305931,yifei,0.38439 (32),69.63847 (26),
435635,leahyyy,0.38263 (33),68.47004 (30),
57744,xuebingjie,0.37886 (34),88.06424 (17),
61393,Pope.Zheng,0.37662 (35),114.12709 (4),
257656,xdqiang,0.37632 (36),92.52745 (13),
324914,Waterman,0.36703 (37),64.79836 (40),
194936,tanmlh,0.36507 (38),98.53341 (9),
257780,suka,0.36086 (39),66.43758 (37),
364050,xvxibu,0.34879 (40),66.46476 (36),
82771,xumengqiu0910,0.31569 (41),92.28977 (14),
422499,Xiaoxinghhh,0.29318 (42),71.56452 (23),
173336,yann,0.19913 (43),89.86865 (15),
