submission_pk,User,b'Accuracy'
245642,USTC-IAT-United,99.83 (1),
117483,lnyang,92.56 (2),
75112,sislab,89.35 (3),
127242,BiBiKo,85.68 (4),
98562,zhangteng,84.02 (5),
98924,seesee,83.24 (6),
112766,Marry,75.72 (7),
113930,cosimo,73.62 (8),
112770,hsansui,70.02 (9),
76124,simplexsigil,59.46 (10),
113934,u7355608,49.30 (11),
114518,Try_one_Try,49.20 (12),
