submission_pk,User,b'Average Macro F1',b'Precision HS',b'Recall HS',b'F1 HS',b'Precision NHS',b'Recall NHS',b'F1 NHS'
349934,aswathyprem,0.9591 (1),0.6151 (1),0.6082 (2),0.6116 (1),0.9586 (2),0.9597 (2),0.9591 (1),
365701,mgraffg,0.7807 (2),0.5255 (3),0.7313 (1),0.6115 (2),0.9703 (1),0.9301 (3),0.9498 (3),
364688,NLP_URJC,0.7675 (3),0.6134 (2),0.5448 (3),0.5771 (3),0.9524 (3),0.9637 (1),0.9580 (2),
