submission_pk,User,b'Accuracy',b'F1',b'Bleu_1',b'Bleu_2',b'Bleu_3',b'Bleu_4',b'Rouge_L',b'CIDEr',b'METEOR'
458170,noobyj,0.3143 (1),- (-),- (-),- (-),- (-),- (-),- (-),- (-),- (-),
451435,Devs,0.2664 (2),- (-),- (-),- (-),- (-),- (-),- (-),- (-),- (-),
450924,TerenceCai,0.0620 (3),- (-),- (-),- (-),- (-),- (-),- (-),- (-),- (-),
448716,yueqianwang,0.0620 (3),- (-),- (-),- (-),- (-),- (-),- (-),- (-),- (-),
