submission_pk,User,b'MAP'
168074,honghanhh,0.1539 (1),
170732,PaulTrust,0.1516 (2),
172998,kamivao,0.1460 (3),
171757,langml,0.1414 (4),
155813,mvalentino,0.1228 (5),
