submission_pk,User,b'Accuracy',b'CELoss'
92306,caihuanqia,100.0000 (1),1.00000 (34),
73916,zhouguangyuan,100.0000 (1),1.00000 (34),
73731,Vincent,100.0000 (1),1.00000 (34),
95886,TAL-Ai,95.7576 (2),0.95758 (33),
81660,Necca,90.9091 (3),0.90909 (32),
66871,SakuraD,85.4545 (4),0.85454 (31),
58815,WhiteGive,83.6364 (5),0.83636 (30),
81271,SYSU-FVL-LIGHT,82.1212 (6),0.82121 (29),
67379,current,80.9091 (7),0.80909 (28),
93303,qxh,80.0000 (8),0.80000 (27),
93263,hsansui,80.0000 (8),0.80000 (27),
90933,Suzally,80.0000 (8),0.80000 (27),
89812,zhangteng,80.0000 (8),0.80000 (27),
77800,Alien,80.0000 (8),0.80000 (27),
95356,weidaxia,79.6970 (9),0.79697 (26),
95733,dzbd,79.0909 (10),0.79091 (25),
95353,Try_one_Try,79.0909 (10),0.79091 (25),
95351,u7355608,79.0909 (10),0.79091 (25),
95895,pbdang2000,76.0606 (11),0.76061 (24),
72896,alger,73.9394 (12),0.73939 (23),
87003,oliverck,73.3333 (13),0.73333 (22),
93034,hwz,71.8182 (14),0.71818 (21),
91722,DthdZK,71.8182 (14),0.71818 (21),
95021,smallrabbit2022,71.2121 (15),0.71212 (20),
58676,saurabh26,71.2121 (15),0.71212 (20),
64283,HuizhouChen,69.6970 (16),0.69697 (19),
55477,LAR,67.2727 (17),0.67273 (18),
87045,MakkaPakka,66.9697 (18),0.66970 (17),
93576,soony,66.6667 (19),0.66667 (16),
94984,Andy,64.2424 (20),0.64242 (15),
95634,xiaozhua,59.6970 (21),0.59697 (14),
79232,PingPingPangPangBangBangBang,56.3636 (22),0.56364 (13),
74445,Levi_Acrkerman,56.0606 (23),0.56061 (12),
94291,vivien,55.1515 (24),0.55152 (11),
95472,zero1778,50.6061 (25),0.50606 (10),
59453,Millennials,49.3939 (26),0.49394 (9),
66697,Aespa_wInter,48.7879 (27),0.48788 (8),
69305,ycybiubiu,46.0606 (28),0.46061 (7),
79823,neptune,45.1515 (29),0.45152 (6),
55169,ctyun,43.0303 (30),0.43030 (5),
88249,jimmy,30.9091 (31),0.30909 (4),
42755,DaAux,16.6667 (32),0.16667 (3),
72578,lebway,9.0909 (33),0.09091 (2),
69457,KevinChan,9.0909 (33),0.09091 (2),
59201,lulsheng,9.0909 (33),0.09091 (2),
49146,Soikat,9.0909 (33),0.09091 (2),
44823,ceshi,9.0909 (33),0.09091 (2),
44819,cuis2,9.0909 (33),0.09091 (2),
95232,hmhuy18,5.4545 (34),0.05454 (1),
