submission_pk,User,b'Nearest Neighbor',b'Precision-at-10',b'NDCG',b'mAP'
363773,v1olet,0.500000 (1),0.231818 (2),0.639562 (2),0.453054 (2),
364287,htrvu,0.469697 (2),0.254545 (1),0.664818 (1),0.512252 (1),
362193,thphong99,0.409091 (3),0.225758 (3),0.607851 (3),0.420767 (3),
357989,vohoaidanh,0.136364 (4),0.087879 (5),0.372322 (5),0.158041 (5),
362817,baohoai02,0.106061 (5),0.136364 (4),0.449705 (4),0.241080 (4),
490174,nghiemkythu,0.000000 (6),0.000000 (8),0.000000 (9),0.000000 (9),
364669,Ant-Man,0.000000 (6),0.000000 (8),0.000000 (9),0.000000 (9),
364224,ducanh250599,0.000000 (6),0.010606 (6),0.215039 (7),0.019152 (7),
363855,duongvankhoa,0.000000 (6),0.000000 (8),0.000000 (9),0.000000 (9),
355912,chongchongtrenenobita,0.000000 (6),0.000000 (8),0.193588 (8),0.009335 (8),
346055,nero,0.000000 (6),0.009091 (7),0.239521 (6),0.038203 (6),
