submission_pk,User,b'Avg',b'mA',b'Label_F1',b'Instance_Acc',b'Instance_Prec',b'Instance_Rec',b'Instance_F1'
209068,melaeric,0.7683 (1),0.7578 (1),0.5042 (1),0.6622 (3),0.7724 (3),0.7987 (2),0.7791 (3),
182873,juliojj,0.7532 (2),0.7151 (2),0.4939 (2),0.6841 (1),0.8063 (2),0.7957 (3),0.7956 (1),
218551,Jai_C21,0.7261 (3),0.7022 (3),0.4466 (3),0.6253 (5),0.7078 (7),0.8208 (1),0.7518 (5),
218506,harshtripathi6,0.7212 (4),0.6649 (6),0.4225 (5),0.6748 (2),0.8266 (1),0.7632 (5),0.7878 (2),
210964,jzsherlock,0.7133 (5),0.6762 (4),0.4409 (4),0.6278 (4),0.7343 (5),0.7850 (4),0.7547 (4),
218482,ko4ro,0.6934 (6),0.6660 (5),0.4091 (6),0.5938 (6),0.7400 (4),0.7207 (6),0.7231 (6),
218738,neptune,0.6519 (7),0.6275 (7),0.3522 (7),0.5412 (7),0.7166 (6),0.6591 (7),0.6782 (7),
