submission_pk,User,b'WS-PSNR (dB)',b'WS-SSIM',b'PSNR (dB)',b'SSIM'
364979,cui666,25.89 (1),-1.00 (1),26.45 (1),-1.00 (1),
360416,Spider-Man,25.41 (2),-1.00 (1),25.95 (2),-1.00 (1),
360336,PixelBE,24.75 (3),-1.00 (1),25.34 (3),-1.00 (1),
319047,baseline_,24.57 (4),-1.00 (1),25.19 (4),-1.00 (1),
362511,ChengzhiCao,23.82 (5),-1.00 (1),24.19 (5),-1.00 (1),
365364,flowers,22.67 (6),-1.00 (1),23.09 (6),-1.00 (1),
