submission_pk,User,b'MainScore',b'Pearson',b'Spearman',b'FR [1] / NR [0]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
147190,jiliya1991,0.23 (74),0.11 (74),0.11 (73),0.00 (1),1.00 (1),1.00 (1),
72107,cvip_IQA,1.11 (35),0.56 (37),0.55 (35),0.00 (1),0.00 (2),1.00 (1),
71908,davidfu,0.55 (63),0.30 (63),0.26 (63),0.00 (1),0.00 (2),1.00 (1),
71601,Sicks,1.17 (29),0.59 (29),0.58 (29),0.00 (1),0.00 (2),1.00 (1),
71182,houxiaoxia,1.41 (7),0.72 (7),0.69 (7),0.00 (1),1.00 (1),1.00 (1),
70667,FLT,0.23 (73),0.12 (73),0.11 (74),1.00 (2),0.00 (2),1.00 (1),
67963,mrchang87,0.97 (50),0.49 (49),0.48 (50),1.00 (2),1.00 (1),1.00 (1),
67207,frankx,0.38 (69),0.20 (67),0.19 (70),0.00 (1),1.00 (1),1.00 (1),
64806,cmd_test,1.21 (25),0.61 (26),0.60 (25),0.00 (1),0.00 (2),1.00 (1),
63365,burchim,0.72 (59),0.36 (59),0.36 (60),0.00 (1),0.00 (2),1.00 (1),
61105,pkucss,1.27 (19),0.66 (17),0.61 (22),0.00 (1),0.00 (2),1.00 (1),
53189,HaoqiangYang,0.72 (60),0.35 (60),0.37 (59),1.00 (2),1.00 (1),1.00 (1),
53166,yzZ,0.97 (49),0.48 (50),0.49 (47),0.00 (1),1.00 (1),1.00 (1),
52247,yahaha,0.39 (68),0.19 (68),0.20 (68),0.00 (1),1.00 (1),1.00 (1),
49660,YQSYYDS,0.79 (57),0.40 (58),0.39 (57),0.00 (1),0.00 (2),1.00 (1),
46268,AlexNico,0.12 (76),0.09 (75),0.03 (76),0.00 (1),1.00 (1),1.00 (1),
382818,PQlet,1.38 (9),0.70 (9),0.68 (9),0.00 (1),0.00 (2),0.00 (2),
171787,LittleRookie,1.39 (8),0.71 (8),0.69 (8),0.00 (1),0.00 (2),0.00 (2),
160489,ddw995,0.79 (58),0.41 (57),0.38 (58),0.00 (1),0.00 (2),0.00 (2),
153201,wth1919,1.29 (17),0.65 (19),0.64 (17),0.00 (1),0.00 (2),0.00 (2),
120291,ysy,1.31 (16),0.66 (16),0.64 (16),1.00 (2),1.00 (1),0.00 (2),
102455,yaoshunyu,1.19 (27),0.60 (27),0.59 (26),1.00 (2),1.00 (1),0.00 (2),
101976,shanggong,1.14 (33),0.57 (33),0.57 (32),1.00 (2),1.00 (1),0.00 (2),
91535,HenryShen24,0.27 (71),0.12 (72),0.15 (71),0.00 (1),0.00 (2),0.00 (2),
88373,lavender,0.35 (70),0.16 (70),0.19 (69),0.00 (1),0.00 (2),0.00 (2),
84690,nanashi,0.85 (56),0.43 (55),0.42 (56),0.00 (1),0.00 (2),0.00 (2),
84216,gongtengxinyi,1.23 (23),0.62 (24),0.60 (23),0.00 (1),0.00 (2),0.00 (2),
84018,FaceMan_LuoJi,1.36 (11),0.69 (11),0.67 (10),0.00 (1),0.00 (2),0.00 (2),
83461,wth_test,1.33 (13),0.67 (13),0.65 (13),0.00 (1),0.00 (2),0.00 (2),
82695,yangsd21,1.34 (12),0.68 (12),0.66 (11),0.00 (1),0.00 (2),0.00 (2),
82683,cmd,1.31 (15),0.66 (15),0.64 (15),0.00 (1),0.00 (2),0.00 (2),
72413,Snow,1.54 (1),0.78 (1),0.76 (1),0.00 (1),0.00 (2),0.00 (2),
72382,Kangnayeon,1.07 (38),0.54 (38),0.53 (37),0.00 (1),0.00 (2),0.00 (2),
72318,keephours,1.46 (5),0.75 (5),0.72 (5),0.00 (1),0.00 (2),0.00 (2),
72300,ewonkyong,1.00 (46),0.50 (48),0.50 (43),0.00 (1),0.00 (2),0.00 (2),
72268,iseevideo,1.44 (6),0.74 (6),0.71 (6),0.00 (1),0.00 (2),0.00 (2),
72136,Hodor,1.53 (2),0.78 (2),0.75 (2),0.00 (1),0.00 (2),0.00 (2),
72095,EZ_kor,0.98 (47),0.50 (45),0.48 (49),0.00 (1),1.00 (1),0.00 (2),
72016,DTVQ2,1.05 (39),0.53 (40),0.52 (39),0.00 (1),0.00 (2),0.00 (2),
72039,crazycat,1.36 (10),0.70 (10),0.66 (12),0.00 (1),0.00 (2),0.00 (2),
71959,Ze1da,1.52 (3),0.77 (3),0.75 (3),0.00 (1),0.00 (2),0.00 (2),
71866,Fury,1.27 (20),0.64 (20),0.63 (18),0.00 (1),0.00 (2),0.00 (2),
71822,su,0.94 (51),0.47 (51),0.47 (52),0.00 (1),0.00 (2),0.00 (2),
71760,hwscut,1.15 (31),0.58 (32),0.57 (31),0.00 (1),0.00 (2),0.00 (2),
71751,caixukun,1.25 (21),0.64 (21),0.61 (21),0.00 (1),0.00 (2),0.00 (2),
71352,EvaLab,1.13 (34),0.57 (34),0.56 (33),0.00 (1),0.00 (2),0.00 (2),
71336,lgd_magnus,1.17 (28),0.59 (30),0.59 (27),0.00 (1),0.00 (2),0.00 (2),
71159,CongHeng,0.98 (48),0.50 (47),0.48 (48),0.00 (1),0.00 (2),0.00 (2),
69651,caihuanqia,0.17 (75),0.08 (76),0.09 (75),0.00 (1),1.00 (1),0.00 (2),
68374,Meiyuting,0.68 (61),0.35 (61),0.33 (61),0.00 (1),1.00 (1),0.00 (2),
68276,lxh1512,1.11 (36),0.56 (35),0.54 (36),0.00 (1),0.00 (2),0.00 (2),
67858,zrofungLim,0.66 (62),0.34 (62),0.33 (62),0.00 (1),0.00 (2),0.00 (2),
67576,kill07,1.08 (37),0.56 (36),0.52 (38),0.00 (1),0.00 (2),0.00 (2),
67556,MinsuKwon,1.00 (44),0.50 (46),0.50 (42),0.00 (1),1.00 (1),0.00 (2),
67190,wanghao1003,1.25 (22),0.63 (22),0.61 (20),0.00 (1),0.00 (2),0.00 (2),
67139,yuankun,1.48 (4),0.76 (4),0.72 (4),0.00 (1),0.00 (2),0.00 (2),
