submission_pk,User,b'f1',b'Precision',b'Recall'
445813,EstebanPonce,0.8797 (1),0.8737 (1),0.8864 (3),
435534,agmegias,0.8733 (2),0.8523 (3),0.8973 (2),
444415,Jorge,0.8698 (3),0.8622 (2),0.8784 (4),
447323,Arnold,0.8492 (4),0.8305 (6),0.8715 (5),
437822,csuazob,0.8490 (5),0.8441 (4),0.8577 (6),
433112,HoracioJarquin,0.8427 (6),0.7663 (13),0.9407 (1),
447947,danielvallejo237,0.8421 (7),0.8394 (5),0.8449 (7),
434156,BrauuHdzm,0.8048 (8),0.8027 (9),0.8091 (9),
444735,escom,0.8036 (9),0.8178 (8),0.7974 (10),
447852,Thisjesusalan,0.8030 (10),0.7802 (11),0.8294 (8),
437316,devjesus,0.7789 (11),0.8184 (7),0.7517 (13),
438571,rkcd,0.7773 (12),0.7812 (10),0.7781 (11),
447464,VickBat,0.7647 (13),0.7760 (12),0.7571 (12),
443998,d121201,0.7116 (14),0.7306 (15),0.7210 (14),
442974,PabloGP,0.6581 (15),0.7338 (14),0.6198 (15),
443563,pakapro,0.2860 (16),0.2531 (16),0.4992 (16),
